business_code,business_name,hierarchy_path,biz_large_name,biz_middle_name,biz_small_name,biz_sub_name,linked_ksic_codes,linked_ksic_names,definition,include_activities,exclude_activities,detail_description,representative_items,activity_terms,synonyms,ksic_version,has_haeseol
743005,그 외 기타 광고 관련 서비스업,"전문, 과학 및 기술 서비스업 > 전문 서비스업 > 광고업 > 기타 광고업 > 그 외 기타 광고 관련 서비스업","전문, 과학 및 기술 서비스업",전문 서비스업,광고업,기타 광고업,71399,그 외 기타 광고 관련 서비스업,"광고 매체(TV, 신문 등) 소유자를 대리하여 광고 시간 또는 지면을 판매하거나, 광고 매체로부터 광고 시간 또는 지면을 구입하여 광고 대행사 또는 광고주에게 직접 재판매하거나 그 외 기타 광고 관련 서 비스를 수행하는 산업활동을 말한다.","신문사 광고 지면 판매 대리|텔레비전 광고 시간 판매 대리|광고물 배포|광고용 명함, 인사장, 초대장 견본 배부 대리|우편 광고물 배포|광고용품 배포 대리",,,"신문사 광고 지면 판매 대리|텔레비전 광고 시간 판매 대리|광고물 배포|광고용 명함, 인사장, 초대장 견본 배부 대리|우편 광고물 배포|광고용품 배포 대리",판매|광고,,KSIC 11차 (2024),True
749100,고용 알선업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 고용 알선 및 인력 공급업 > 고용 알선업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,고용 알선 및 인력 공급업,고용 알선업,75110,고용 알선업,"고용주 또는 고용 알선업체의 직원이 아닌 구직자를 대리하여 일자리 및 업 및 구직자 정보를 기초로 인력을 선발, 알선 및 배치하는 산업활동을 임설 말한다. 서리 ， 스사 업업",사무 인력 알선|개인 및 가사 인력 알선|고급 인력 알선(헤드헌터)|간호 인력 알선|직업소개소,,,사무 인력|개인 및 가사 인력|고급 인력 알선(헤드헌터)|간호 인력|직업소개소,알선,,KSIC 11차 (2024),True
749101,임시 및 일용 인력 공급업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 고용 알선 및 인력 공급업 > 인력 공급업 > 임시 및 일용 인력 공급업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,고용 알선 및 인력 공급업,인력 공급업,75121,임시 및 일용 인력 공급업,자기관리 아래 있는 노동자를 계약에 의하여 타인 또는 타사업체에 단기간(1년 미만) 공급하는 산업활동을 말한다. 이 노동자들은 인력 공급업체의 직원이지만 고객 사업체의 지시 및 감독을 받아 업무를 수행한다.,"임시 및 일용 근로자 파견업|단기 인력 파견업|단기 개인 및 가사 인력 공급|단기 간호 인력 공급|모델 공급|단기 산업 노동 인력 공급|근로자 단기 파견업|인력풀(pool) 공급 운영|단기 사무 인력 공급|연극, 영화 단역배우 공급 운영",,,"임시 및 일용 근로자 파견업|단기 인력 파견업|단기 개인 및 가사 인력|단기 간호 인력|모델|단기 산업 노동 인력|근로자 단기 파견업|인력풀(pool) 공급|단기 사무 인력|연극, 영화 단역배우 공급",관리,,KSIC 11차 (2024),True
749102,상용 인력 공급 및 인사관리 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 고용 알선 및 인력 공급업 > 인력 공급업 > 상용 인력 공급 및 인사관리 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,고용 알선 및 인력 공급업,인력 공급업,75122,상용 인력 공급 및 인사관리 서비스업,"자기관리 아래 있는 노동자를 계약에 의하여 타인 또는 타사업체에 장기간(1년 이상) 공급하는 산업활동을 말한다. 이들 사업체는 파견 인력에 대한 인사관리 서비스를 수행할 수 있으나, 파견 인력은 고객 사업체의 지시 및 감독을 받아 업무를 수행한다.",상용 근로자 파견 및 공급업,,,상용 근로자 파견 및 공급업,관리,,KSIC 11차 (2024),True
749200,경비 및 경호 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 경비, 경호 및 탐정업 > 경비 및 경호 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,"경비, 경호 및 탐정업",경비 및 경호 서비스업,75310,경비 및 경호 서비스업,"스사 사무실, 주택, 오락시설, 유원지 및 주차장 등에서 경계, 재산 보호 및 업업 도난을 방지하거나 사람의 생명 및 신체를 위해로부터 보호하는 산업 지 활동을 말한다. 귀중품 운송 서비스를 제공하는 산업활동도 포함한다.",경비업|순찰 서비스|건물 경비|사업체 보안 서비스|보디가드 서비스|경호견 서비스|경호 서비스,보험에 관련된 조사 활동|탐정 및 경호를 경찰에서 수행하는 경우,,경비업|순찰|건물 경비|사업체 보안|보디가드|경호견|경호,운송|경비|오락,,KSIC 11차 (2024),True
749201,보안 시스템 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 경비, 경호 및 탐정업 > 보안 시스템 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,"경비, 경호 및 탐정업",보안 시스템 서비스업,75320,보안 시스템 서비스업,화재 및 도난 경보장치 등과 같은 전자 보안․경보 시스템의 원격 감 시 및 유지․관리 서비스를 제공하는 산업활동을 말한다.,,경보 조직 관련 통신설비 설치|차량 경보 시스템 판매,,보안 시스템,관리,,KSIC 11차 (2024),True
749300,건축물 일반 청소업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업시설 관리 및 조경 서비스업 > 건물ㆍ산업설비 청소 및 방제 서비스업 > 건물 및 산업설비 청소업 > 건축물 일반 청소업","사업시설 관리, 사업 지원 및 임대 서비스업",사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,건물 및 산업설비 청소업,74211,건축물 일반 청소업,"주거용, 상업용 또는 산업용 건물의 내부 및 창문을 청소하는 산업활 동을 말한다.",건물 창문 청소|건물 외부 청소|공중 전화시설 청소|구내 청소 대행|바닥 청소 및 광택 내기|내부 벽 청소,"산업설비, 운송장비 또는 공공장소 청소|카펫, 바닥깔개, 가리개 및 커튼 세탁|개인 가정 고용인의 청소활동",,건물 창문 청소|건물 외부 청소|공중 전화시설 청소|구내 청소 대행|바닥 청소 및 광택 내기|내부 벽 청소,청소,,KSIC 11차 (2024),True
749301,하수 처리업,"수도, 하수 및 폐기물 처리, 원료 재생업 > 하수, 폐수 및 분뇨 처리업 > 하수 및 폐수 처리업 > 하수 처리업","수도, 하수 및 폐기물 처리, 원료 재생업","하수, 폐수 및 분뇨 처리업","하수, 폐수 및 분뇨 처리업",하수 및 폐수 처리업,37011,하수 처리업,"하수를 하수도관에 의해서 수집하고, 수집된 하수를 희석, 선별, 여과, 침전 등 물리․화학․생물공정 등으로 처리하는 하수도관시설 및 하 수 처리시설을 운영하는 산업활동을 말하며 관련 시설을 청소하는 활 동을 포함한다.",하수 펌프장 운영|하수도관시설 운영|하수 종말 처리장 운영,산업 폐수 처리시설 운영,하수도관 청소,하수 펌프장|하수도관시설|하수 종말 처리장,청소,,KSIC 11차 (2024),True
749302,"소독, 구충 및 방제 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업 > 사업시설 관리 및 조경 서비스업 > 건물ㆍ산업설비 청소 및 방제 서비스업 > 소독, 구충 및 방제 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업시설 관리 및 조경 서비스업,건물ㆍ산업설비 청소 및 방제 서비스업,"소독, 구충 및 방제 서비스업",74220,"소독, 구충 및 방제 서비스업","건물, 가구 및 기기 등을 소독, 구충 및 방제하는 산업활동을 말한다.",건물 해충 구제 서비스|선박 소독 및 살균 서비스|화장실 위생 소독 서비스|훈증 소독 서비스,농작물 해충 구제 서비스,,건물 해충 구제|선박 소독 및 살균|화장실 위생 소독|훈증 소독,방제,,KSIC 11차 (2024),True
749303,조경관리 및 유지 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업시설 관리 및 조경 서비스업 > 조경관리 및 유지 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업시설 관리 및 조경 서비스업,조경관리 및 유지 서비스업,조경관리 및 유지 서비스업,74300,조경관리 및 유지 서비스업,"수수료 및 계약에 의하여 건물 주위, 도로변, 정원, 공원, 운동장 등의 환경 조성에 따른 조경수, 잔디, 화초 등 각종 조경용 식물을 식재 및 유지․관리하는 산업활동을 말한다. 조경수 및 관목의 보호를 위한 활동도 포함한다.",조경수 관리|정원수 식재|정원관리 대리|조경수목 치료 서비스,조경수를 재배한 사업체가 식재를 하는 경우|토목공사와 결합되는 조경수 식재,,조경수 관리|정원수 식재|정원관리 대리|조경수목 치료,관리|조경관리|치료,,KSIC 11차 (2024),True
