국세청코드,KSIC코드,KSIC명
242903,20499,그 외 기타 분류 안된 화학제품 제조업
242904,20492,가공 및 정제염 제조업
242905,20491,감광 재료 및 관련 화학제품 제조업
242906,20494,화약 및 불꽃제품 제조업
242907,21301,체외 진단 시약 제조업
242907,20499,그 외 기타 분류 안된 화학제품 제조업
242908,20495,바이오 연료 및 혼합물 제조업
243000,20501,합성섬유 제조업
243001,20502,재생 섬유 제조업
251101,22110,고무 타이어 및 튜브 제조업
251102,22110,고무 타이어 및 튜브 제조업
251901,22192,산업용 그 외 비경화 고무제품 제조업
251902,22199,그 외 기타 고무제품 제조업
251903,22191,고무 패킹류 제조업
251904,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업
252101,22211,"플라스틱 선, 봉, 관 및 호스 제조업"
252102,22212,플라스틱 필름 제조업
252103,22214,플라스틱 합성피혁 제조업
252105,22212,플라스틱 필름 제조업
252106,22213,플라스틱 시트 및 판 제조업
252200,22251,폴리스티렌 발포 성형제품 제조업
252201,22259,기타 플라스틱 발포 성형제품 제조업
252301,22222,설치용 및 위생용 플라스틱제품 제조업
252303,22221,벽 및 바닥 피복용 플라스틱 제품 제조업
252400,22223,플라스틱 창호 제조업
252401,22229,기타 건축용 플라스틱 조립제품 제조업
252402,22231,"플라스틱 포대, 봉투 및 유사제품 제조업"
252403,22291,플라스틱 접착처리 제품 제조업
252404,22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업"
252901,22232,포장용 플라스틱 성형용기 제조업
252902,22299,그 외 기타 플라스틱 제품 제조업
252903,22241,운송장비 조립용 플라스틱제품 제조업
252904,22249,기타 기계ㆍ장비 조립용 플라스틱제품 제조업
252909,22299,그 외 기타 플라스틱 제품 제조업
261001,23111,판유리 제조업
261002,23191,가정용 유리제품 제조업
261004,23112,안전유리 제조업
261005,23119,기타 판유리 가공품 제조업
261006,23121,"1차 유리제품, 유리섬유 및 광학용 유리 제조업"
261007,23122,디스플레이 장치용 유리 제조업
261008,23129,기타 산업용 유리제품 제조업
261009,23192,포장용 유리용기 제조업
