KSIC코드,업종명,레벨,정의,예시,제외
42491,"미장, 타일 및 방수 공사업",세세분류,"전문직별 도급 건설업자가 건축물의 벽면 및 바닥의 미장공사, 방수 공사 및 타일공사를 수행하는 산업활동을 말한다.","모자이크공사 / 미장, 타일, 방수공사 시공과 관련 건물 본체 및 설비 등과 일체화 / 공사(태핑공사) / 대리석 부착공사 / 프레스코공사 / 모래 분사 부착(취부)공사 / 타일 및 테라조 내장공사 / 회반죽 공사 및 관련 미장공사","블록, 벽돌, 석재 조적공사(42191) / 지붕공사(42196) / 방음공사(42204) / 핫 태핑, 콜드 태핑공사(42201) / 건 설 업"
42492,건물용 금속 공작물 설치 공사업,세세분류,전문직별 건설업자가 건축물을 완성 및 마무리하는 과정에서 각종 금 속공작물을 설치하는 산업활동을 말한다.,"금속제 장식용 아치 설치공사 / 장식용 금속 공작물 설치공사 건 / 금속제 발코니 설치공사 / 장식용 금속제 모형 설치공사 / 금속제 차광막 설치공사 / 철사다리, 철난간, 철계단 설치공사",금속 구조재 제조업체가 설치하는 경우(2511) / 축조관련 울타리 설치 공사 및 철망공사(42209)
42499,그 외 기타 건축 마무리 공사업,세세분류,전문직별 도급건설업자가 수행하는 달리 분류되지 않은 건축 마무리 공사를 수행하는 산업활동을 말한다.,"건축물 외부 증기청소 공사 / 바닥 정리 및 청소 공사 / 비금속제 건물부착 공작물(차광발, 커튼고리, 커튼 등) 설치공사",
42500,시설물 유지관리 공사업,세세분류,시설물 완공 이후 그 기능을 보전하고 이용자의 편의와 안전을 높이 대분류 F 기 위하여 시설물을 점검․정비하고 개량․보수․보강하는 공사로서 2종 이상의 전문직별 공사업무 내용으로 수행하는 건축물 개량․보 수․보강공사를 수행하는 산업활동을 말한다. 건축물 증축․개축․재,,
42600,건설장비 운영업,세세분류,"수수료 또는 계약에 의하여 개인 또는 다른 건설업자(종합, 전문, 자 영)의 요구에 따라 각종 건설용 기계 및 장비를 운전자와 함께 제공 하는 산업활동을 말한다. 도급 건설업자가 직접 도급건설 계약을 체",건설용 기계장비 운영업,"운전자 없는 건설장비용 기계장비 임대(76310) / 도매 및 소매업 G 도매 및 소매업(45 ~ 47) 이 대분류에는 구입한 각종 신상품 또는 중고품을 변형하지 않고 구매자에 게 재판매하는 도매 및 소매활동, 판매상품에 대한 소유권을 갖지 않고 구 매자와 판매자를 위하여 판매 또는 구매를 대리하는 상품 중개, 대리 및 경 매활동을 포함한다."
45,자동차 및 부품 판매업,중분류,"신품 또는 중고 자동차, 모터사이클 및 이들의 부품과 부속품을 판매 하는 산업활동으로서 자동차 매매 중개활동을 포함한다. 매",,"운전자가 딸린 승용 차량, 트럭 임대는 492, 493에 분류 / 차량견인 활동(4930) / 차량용 연료를 판매하는 주유소 또는 차량용 가스 충전소(477)"
451,자동차 판매업,소분류,신품 및 중고 자동차를 도․소매하거나 중개하는 산업활동을 말한다.,,모터사이클 판매(4530)
45110,자동차 신품 판매업,세세분류,신품의 각종 자동차를 도․소매 및 중개하는 산업활동을 말한다.,"각종 승용차 도 / 소매 / 각종 화물 차량 도 / 대분류 G / 트레일러 도 / 농 / 공업용 경자동차 도 / 응급 구급차(앰뷸런스) 도 / 특수 승용 자동차 도 / 특장차 도 / 도로 주행용 차량 중개 / 설상용 차량, 골프용 차량 도",
45120,중고 자동차 판매업,세세분류,각종 중고 자동차를 도․소매하거나 중개하는 산업활동을 말한다.,중고 화물차 도 / 소매 / 중고 버스 및 트럭 도 / 중고 자동차 매매 / 중고 승용차 도,
452,자동차 부품 및 내장품 판매업,소분류,"신품 및 중고 상태의 각종 자동차용 부품, 구성품 및 내장품을 도․ 소매하거나 중개하는 산업활동을 말한다.",,
45211,자동차 신품 타이어 및 튜브 판매업,세세분류,자동차용 신품 타이어 및 튜브를 도․소매하는 산업활동을 말한다.,차량용 타이어 도 / 소매 / 차량용 튜브 도,
45212,자동차용 전용 신품 부품 판매업,세세분류,도매 및 소매업 자동차 엔진․차체․동력 전달장치․전기장치 및 그 외 전용 신품 부 품을 판매하는 산업활동을 말한다.,"자동차 엔진용 부품 도 / 소매 / 자동차 차체용 부품 도 / 자동차 동력 전달장치용 부품 도 / 소매 G / 자동차 전기장치용 전용 부품(점화, 배선장치 등) 도 / 소매 도 / 자동차 조향장치 부품 도 / 자동차 현가장치 부품 도 / 소매 소 / 45213 자동차 내장용 신품 전기 / 전자 / 정밀기기 판매업 / 자동차 전용 부품을 제외한 내장용 신품 전기 / 정밀 기기류를 / 판매하는 산업활동을 말한다. / 차량 경보기 도 / 자동차용 에",
45219,기타 자동차 신품 부품 및 내장품 판매업,세세분류,"자동차용 타이어 및 튜브, 전용 부품, 전기․전자․정밀기기류를 제외 한 자동차 신품 부품 및 내장품을 도․소매하는 산업활동을 말한다.",자동차 좌석덮개(시트커버) 도 / 소매 / 자동차 액세서리 도 / 자동차 인테리어용품 도 / 차량용 유리 도 / 대분류 G,자동차 타이어 및 튜브 도 / 소매(45211)
45220,자동차 중고 부품 및 내장품 판매업,세세분류,자동차용 각종 중고 부품 및 내장품을 도․소매하는 산업활동을 말한다.,카인테리어 중고 부품 판매 / 차량용 중고 축전지(배터리) 도 / 소매 / 차량용 중고 에어컨 도 / 차량용 중고 타이어 및 튜브 판매,
45301,모터사이클 및 부품 도매업,세세분류,"신품 또는 중고 상태의 모터사이클, 전동 자전거 및 부품, 구성품을 도매하는 산업활동을 말한다.","오토바이 도매 / 오토바이 부품 도매 / 이륜차 도매 / 전동 자전거(모페드, moped) 도매",
45302,모터사이클 및 부품 소매업,세세분류,"신품 또는 중고 상태의 모터사이클, 전동 자전거 및 부품, 구성품을 소매하는 활동을 말한다.",오토바이 소매 / 오토바이 부품 소매 / 이륜차 소매 / 대분류 G,
46,도매 및 상품 중개업,중분류,"1. 개요 구입한 새로운 상품 또는 중고품을 변형하지 않고 소매업자, 산업 및 상업 사용자, 단체, 기관 및 전문 사용자 또는 다른 도매업자에게 재판매하는 산 업활동을 말한다. 또한 개인이나 사업자를 위하여 상품 매매를 중개하거나",,
4610,상품 중개업,세분류,"수수료 또는 계약에 의하여 타인의 명의로 타인의 상품을 거래하거나 시장 상황, 거래 당사자 신용 상태 파악, 전문 지식 제공 등으로 상품 거래를 지원하고 중개 수수료를 받는 대리 판매점, 상품 중개인, 무역 대리 또는 중개인 및 경매인, 기타 대리 도매인의 활동도 포함한다. 이들은 통상 구매자와 판매자를 연결시켜 주어 그들의 사업을 영위하 대분류 G 거나 상업적 거래를 대리한다. 소매 중개 및 대리활동은 해당 상품 소매업으로 분류한다.","사료 중개 / 종묘 중개 / 가축 중개 / 화초 및 산식물 중개 / 공업용 농 / 축산물 중개 / 원피, 원모 및 조면 중개 / 주류 및 비알코올 음료 중개 / 빵 및 과자 중개 / 도축고기 중개 / 생선 및 물고기 중개 / 조리 가공식품 중개 / 수산물(신선, 냉동, 건조, 염장 등 가공품) 중개 도","자동차 및 이륜 자동차, 설상용 차량의 판매 대리(45) / 자기 소유나 타인 소유 여부를 불문하고 자기 명의로 상품을 도매 / 하는 경우(4620～4680) / 상품 선물거래 중개활동(66122) / 보험 대리 활동(66202) / 부동산 중개(6822) / 사업 및 무형 재산권 중개업(73903) / 46101 산업용 농 / 축산물, 섬유 원료 및 동물 중개업 / 산업용으로 사용되는 농 / 축산물, 살아 있는 동 / 식물 및 수렵물의 / 거래에 관련된 경매, 중개 또는 대리하는 산업활동을 말한다. / 과실, 채소, 달걀, 도축고"
46103,"섬유, 의복, 신발 및 가죽제품 중개업",세세분류,"섬유 및 실, 섬유제품 및 의복, 신발, 가죽 및 모피제품 거래에 관련된 상품의 경매, 중개 또는 대리하는 산업활동을 말한다.",섬유 및 실 중개 / 섬유제품 및 의복 중개 / 가죽제품 중개,
46104,목재 및 건축자재 중개업,세세분류,"제재목 및 합판․박판 등 건축용 목재 가공품, 자갈 및 모래, 벽돌 및 블록, 시멘트, 건축용 유리 및 창호제품 등의 거래에 관련된 상품의 경매, 중개 또는 대리하는 산업활동을 말한다.","합판, 박판, 제재목 중개 / 골재, 벽돌, 시멘트 중개 / 유리 및 창호 중개",
46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업",세세분류,"원유, 연료용 가스, 각종 광물, 철강 및 비철금속 등 1차 금속, 각종 비료 및 화학제품 등의 거래에 관련된 상품의 경매, 중개 또는 대리 하는 산업활동을 말한다.","원유 중개 / 철강 중개 / 화학제품 중개 / 복합 비료, 질소 / 인산질 비료 중개",
46106,기계 및 장비 중개업,세세분류,"산업용 기계․장비, 선박, 항공기 등 기타 기계․장비 및 관련용품 거 래에 관련된 상품의 경매, 중개 또는 대리하는 산업활동을 말한다. 사",농업용 기계 / 장비 중개 / 반도체 기계 / 과학용 기구 및 장비 중개 / 선박 및 항공기 중개 / 사무용 기계 및 컴퓨터 중개,선박이나 항공기 사용 공간 임대 중개(52999)
46107,그 외 기타 특정 상품 중개업,세세분류,"기타 특정 상품의 거래에 관련된 경매, 대리 또는 중개를 수행하는 산업활동을 말한다.",목제품(건축용 제외) 중개 / 종이제품 중개 / 귀금속 중개 / 가정용 가구 중개 / 철물 및 수공구 중개,
46109,상품 종합 중개업,세세분류,도매 및 소매업 타인의 계정으로 타인을 대신하여 각종 상품의 거래와 관련된 경매 또는 중개를 수행하는 산업활동을 말한다. 전체 중개활동에서 발생한,종합 무역 중개 / 연쇄화사업 종합 상품 중개 G,종합 상품 연쇄화사업 도매(46800) 소 / 462 산업용 농 / 축산물 및 동 / 식물 도매업 / 4620 산업용 농 / 가공하지 않았거나 도정한 농 / 축산물 및 수렵물을 도매하는 산업활 / 동을 말한다. 이러한 것들은 산업용으로 많이 사용되며 동 / 식물을 / 도매하는 산업활동도 포함한다. / 수산물 및 가공품 도매(463)
46201,곡물 및 유지작물 도매업,세세분류,가공하지 않았거나 도정한 식량작물 및 각종 유지작물 등을 도매하는 산업활동을 말한다.,"쌀, 보리, 밀 도매 / 콩, 깨, 옥수수 도매 / 기름 함유된 열매 도매 / 대분류 G",곡물 가루 도매(46329)
46202,종자 및 묘목 도매업,세세분류,"곡물, 채소, 과실 등의 종자나 묘목을 도매하는 산업활동을 말한다.",곡물 종자 도매 / 채소 및 과실 묘목 도매 / 채소 종자 도매 / 화훼 종자 도매,
46203,사료 도매업,세세분류,축산 및 양식 사료용 농산물 및 각종 사료를 도매하는 산업활동을 말 한다.,단미 사료(원료 사료) 도매 / 배합 사료 도매 / 보조 사료 도매 / 어류용 사료 도매,식용작물 도매(46201)
46204,화훼류 및 식물 도매업,세세분류,"화초, 과실수, 관상수 등 각종 살아있는 식물을 도매하는 산업활동을 말한다.",꽃 및 난 도매 / 관상수 도매 / 잔디 도매 / 분재류 도매 / 구근(서류작물 제외) 도매 / 도매 및 소매업,"채소, 화훼, 과실 등의 묘목을 도매하는 경우(46202)"
46205,육지동물 및 반려동물도매업,세세분류,가축 및 기타 살아있는 육지 동물과 반려․애완용 동물을 도매하는 산업활동을 말한다. 관상용 수산 동물도 포함한다.,"소, 말, 돼지 도매 / 닭, 오리 등 가금류 도매 / 조류 도매 / 사슴, 멧돼지 도매 / 열대어 도매 / 관상어(바다 및 민물고기) 도매 매",반려 / 애완용 이외 수산 동물 도매(46315)
46209,기타 산업용 농산물 도매업,세세분류,"기타 산업용 미가공 농산물 및 가죽 원단, 원모 및 원면 등을 도매하 는 산업활동을 말한다.","가죽 및 가죽 원단 도매 / 공업용 농산물(곡물 제외) 도매 / 원피 및 원모피 도매 / 영지버섯 도매 / 잎담배 도매 / 한약재 도매 / 누에고치 도매 / 원모 및 원면 도매 / 미가공 커피 도매 / 463 음 / 식료품 및 담배 도매업 / 과실, 채소, 식용 유지, 도축고기, 수산물, 설탕, 과자류 및 빵류, 음료, 커피, 차, 코코아 및 조미료, 가공 담배 등을 도매하는 산업활동을 말 한다. / 대분류 G",
4631,신선 식품 및 단순 가공 식품 도매업,세분류,"과실, 채소, 육류, 수산물 등의 신선 식품이나 건조, 염장, 분쇄 등의 단순 가공한 식품을 도매하는 산업활동을 말한다. 낙농제품 및 조제",,"소시지, 햄, 통조림, 낙농제품 및 기타 가공식품 도매(4632)"
46311,과실류 도매업,세세분류,견과를 포함한 각종 과실류를 도매하는 산업활동을 말한다.,"견과류(대추, 밤, 은행 등) 도매 / 사과, 배, 감, 포도 등 과일 도매","통조림 식품 도매는 육류, 과실 및 채소류, 수산물 등 종류별로 분 / 류(4632) / 조제 가공식품 도매(4632)"
46312,"채소류, 서류 및 향신작물류 도매업",세세분류,"각종 채소류, 서류 및 향신작물류를 도매하는 산업활동을 말한다.","채소(각종 나물) 도매 / 고구마, 감자 도매 / 마늘, 도라지, 오이, 호박 도매","도매 및 소매업 / 통조림 식품 도매는 육류, 과실 및 채소류, 수산물 등 종류별로 분 / 류(4632) / 조제 가공식품 도매(4632)"
46313,육류 도매업,세세분류,가축 및 기타 육지동물의 신선․냉장․냉동한 도축고기를 도매하는 산업활동을 말한다. G,우육 및 돈육 도매 / 가금육 도매 소 / 기타 조류 고기 도매 / 냉장육 도매 업,
46314,건어물 및 젓갈류 도매업,세세분류,"각종 해산물 및 민물고기 등을 건조, 염장한 수산물을 도매하는 산업 활동을 말한다.",건어물 도매 / (조미하지 않은) 젓갈류 도매,
46315,"신선, 냉동 및 기타 수산물 도매업",세세분류,"각종 해산물 및 민물고기 등의 살아있는 것, 신선한 것, 냉동 및 기타 단순 가공한 수산물을 도매하는 산업활동을 말한다.","신선 어류 도매 / 신선 해조류 도매 / 냉동 어개류(어류, 게, 새우 등) 도매",
46319,기타 신선 식품 및 단순 가공 식품 도매업,세세분류,기타 가공하지 않은 식품이나 냉동․건조․염장 등과 같은 단순 가공 한 식품을 도매하는 산업활동을 말한다.,벌꿀 도매 / 조란 도매 / 식용 소금(천일염 포함) 도매,
4632,가공식품 도매업,세분류,"과실, 채소, 육류, 수산물 등을 가공하여 만든 가공식품 및 낙농품 등 을 도매하는 산업활동을 말한다.",,"과실, 채소, 육류 및 수산물 등 비가공식품 도매(4631) / 조제 음료 도매(4633)"
46321,육류 가공식품 도매업,세세분류,가축 및 기타 육지동물의 도축고기를 가공하여 만든 식품을 도매하는 산업활동을 말한다.,육류 통조림 도매 / 햄 및 소시지 도매 / 가금육 통조림 도매 / 베이컨 도매 / 육류 훈제식품 도매,
46322,수산물 가공식품 도매업,세세분류,해산물 및 민물고기 등 수산물의 가공식품을 도매하는 산업활동을 말 한다.,물고기 통조림 도매 / 어묵 도매 / 수산물 액젓 도매 / 구운 김 도매 / 맛살 도매 / 훈제 어류 도매 / 도매 및 소매업,
46323,"빵류, 과자류, 당류, 초콜릿 도매업",세세분류,"빵류, 과자류, 떡류, 당류 및 초콜릿 등을 도매하는 산업활동을 말한다.","비스킷 및 크래커 도매 / 사탕 및 캔디 도매 / 초콜릿 및 껌 도매 / 햄버거 도매 / 피자 도매 / 빵가루 도매 / 설탕 및 당류 도매 / 코코아 분말 및 조제품 도매 / 46324 낙농품 및 동 / 식물성 유지 도매업 / 젖을 살균 / 분리 / 농축 / 건조 / 발효 / 냉동 및 기타 가공하여 생산된 매 / 액상 및 기타 형태의 각종 식용 유제품과 식용 빙과를 도매하는 산업 활동을 말한다. 조란 가공제품, 동 / 식물성 유지를 도매하는 산",
46325,커피 및 차류 도매업,세세분류,커피 및 차류 등의 가공 식료품을 도매하는 산업활동을 말한다.,"볶은 커피, 커피 농축물 및 조제품 도매 / 홍차, 대용차류, 차류 조제품 도매",캔 커피 및 차 음료 도매(46332) / 대분류 G
46326,조미료 도매업,세세분류,조미료 및 식품 첨가물을 도매하는 산업활동을 말한다.,간장 및 케첩 도매 / 조미료 및 감미제 도매 / 향신료 도매 / 장류 도매,
46329,기타 가공식품 도매업,세세분류,"과실 및 채소 가공식품, 곡물 가루, 국수 및 인스턴트 면류 등의 기타 가공 식품을 도매하는 산업활동을 말한다.","냉동 만두 도매 / 과일 통조림 도매 / 당면, 냉면, 스파게티 도매 / 깻잎 및 장아찌 통조림 제품 도매 / 곡물 가공품 도매 / 곡물 가루(쌀, 보리, 밀) 도매 / 녹말(전분) 도매",
4633,음료 및 담배 도매업,세분류,"주류, 비알코올 음료 및 담배를 도매하는 산업활동을 말한다.",,낙농제품 및 아이스크림 도매(46324)
46331,주류 도매업,세세분류,"곡식, 과실 및 채소 등을 발효, 증류 또는 정제하거나 합성하여 제조 한 알코올성 음료를 도매하는 산업활동을 말한다.",주정 도매 / 소주 및 맥주 도매 / 양주 도매 / 탁주 및 약주 도매 / 도매 및 소매업,
46332,비알코올 음료 도매업,세세분류,"생수, 천연 또는 인조 탄산수, 과실 등을 가미한 비알코올 음료를 도 매하는 산업활동을 말한다. 얼음, 음료용 캔커피 및 음료용 차류의 도","과실 주스 도매 / 드링크제(비의약품) 도매 / 탄산 음료 도매 / 청량 음료 도매 / 캔 음료 도매 / 비알코올 음료 원액 도매 / 차 음료(홍차, 녹차 등) 도매 / 맥아 추출물 도매","인삼차, 율무차(분말) 도매(46325) / 우유, 요구르트 및 아이스크림 등 낙농제품 도매(46324)"
46333,담배 도매업,세세분류,"필터 담배, 궐련, 각연(살담배), 판상엽, 여송연(시가) 등 각종 담배제 품을 도매하는 산업활동을 말한다.",,
464,생활용품 도매업,소분류,각종 생활용품을 도매하는 산업활동을 말한다.,,
4641,"생활용 섬유제품, 의복, 의복 액세서리 및 모피제품 도매업",세분류,"생활용 또는 소매용의 솜, 연사, 의복, 의복 액세서리 및 가죽제품, 모 피제품을 도매하는 산업활동을 말한다.",,"산업용 솜, 직조용 사(실) 도매(46741) / 산업용 직물 도매(46742) / 원면 및 조면, 모피 및 원모피, 가죽 도매(4620) / 가방 및 여행용품 도매(46491) / 대분류 G / 산업용 가죽제품 도매(46799)"
46411,생활용 섬유 및 실 도매업,세세분류,"소매용으로 포장된 섬유(솜), 사(실)를 도매하는 산업활동을 말한다.",섬유(솜) 도매 / 연사 도매 / 자수실(재봉사) 도매,직물 및 방직(산업)용 섬유 또는 사 도매(4674)
46412,커튼 및 침구용품 도매업,세세분류,"직물제로 만든 커튼, 침구용품 및 유사 제품을 도매하는 산업활동을 말한다.","쿠션 및 방석 도매 / 실내용 블라인드(직물) 도매 / 벽가리개 도매 / 침구용, 주방용 린넨제품(침대 시트, 식탁보, 베갯잇 등) 도매 / 무대막 도매",전기담요 도매(46521) / 직물벽지 도매(46692)
46413,남녀용 겉옷 및 셔츠 도매업,세세분류,"남녀용 각종 겉옷, 셔츠 등을 도매하는 산업활동을 말한다.",도매 및 소매업 / 양복 및 양장 도매 / 양복 조끼 도매 / 반바지 도매 / 작업복 및 체육복 도매 / 수영복 도매 / 소아용 기성 겉옷 도매,유아용 겉옷 도매(46414)
46414,유아용 의류 도매업,세세분류,유아용 겉옷 및 속옷을 도매하는 산업활동을 말한다.,유아용 겉옷 도매 / 유아용 속옷 도매,
46415,속옷 및 잠옷 도매업,세세분류,남녀용 속옷 및 잠옷 등을 도매하는 산업활동을 말한다.,잠옷 도매 / 러닝 및 팬티 도매 / 브래지어 도매 / 캐미솔 도매,유아용 속옷 도매(46414)
46416,가죽 및 모피 제품 도매업,세세분류,천연․재생․합성․인조 가죽 및 천연․인조 모피제품을 도매하는 산 업활동을 말한다.,가죽의복 도매 / 모피제품 도매 / 대분류 G,원모피 및 원피 도매(46209) / 가죽 가방 및 여행용품 도매(46491) / 가죽 신발 도매(4642)
46417,의복 액세서리 및 모조 장신구 도매업,세세분류,의복 액세서리(귀금속제 제외) 및 모조 장신구 등을 도매하는 산업활 동을 말한다.,가발 및 모자 도매 / 손수건 및 머플러 도매 / 귀걸이 및 머리핀 도매 / 브로치 도매 / 넥타이 도매 / 요대(벨트) 도매 / 양말 및 스타킹 도매 / 단추 및 파스너(지퍼 등) 도매 / 모피제 의복 액세서리 도매 / 모피제 모자 및 장갑 도매,모조 장식품 도매(46463)
46419,기타 생활용 섬유 및 직물 제품 도매업,세세분류,기타 생활용 섬유 및 직물 제품을 도매하는 산업활동을 말한다.,수예품 도매 / 위생 수건(타월) 도매 / 융단(카펫) 도매 / 국기 도매,융단 원단 도매(46692) / 도매 및 소매업
46420,신발 도매업,세세분류,"가죽, 직물, 플라스틱, 고무, 나무 등으로 제조된 각종 신발을 도매하 는 산업활동을 말한다.",구두 도매 / 부츠 도매 도 / 운동화 도매,등산화 도매(46464)
4643,"생활용 가구, 조명기구 및 비전기식 생활용기기 도매업",세분류,"생활용 가구, 조명기구, 비전기식 주방용품 등을 도매하는 산업활동을 말한다.",,철물 및 수공구 도매업(46622) / 배관 및 냉 / 난방장치 도매업(46621)
46431,생활용 가구 도매업,세세분류,각종 재료로 제조된 생활용 가구를 도매하는 산업활동을 말한다.,장롱 도매 / 매트리스 및 침대 도매 / 주방용 가구 도매 / 책상 및 의자 도매(가정용),사무용 가구 도매(46591) / 대분류 G / 의료용 및 수의용 가구 도매(46592)
46432,"전구, 램프 및 조명장치 도매업",세세분류,"각종 조명기구, 조명장치 및 램프를 도매하는 산업활동을 말한다.","샹들리에 도매 / 전기스탠드 도매 / 46433 생활용 유리 / 요업 / 목재 / 금속 제품 및 날붙이 도매업 / 생활용 및 주방용 유리제품, 요업제품, 목재제품, 주방용 금속제품, 날 붙이(칼 / 가위 등) 및 기타 관련 용품을 도매하는 산업활동을 말한다. / 그릇(각종 재질) 도매 / 쌀통 및 김치통 도매 / 주방용품 도매 / 관상용 어항 도매 / 화분 도매 / 쓰레기통 도매 / 비전기식 면도기 도매 / 비전기식 이발기 도매","낫, 전지가위, 톱 등의 철물 및 수공구 도매(46622) / 가스레인지 도매(46521) / 비전기식 보일러 도매(46621) / 가정용 비전기식 조리 및 난방기구 도매(46521)"
46439,기타 비전기식 생활용 기기 및 기구 도매업,세세분류,달리 분류되지 않은 생활용 기기 및 기구 등을 도매하는 산업활동을 말한다.,비전기식 재봉기 도매업 / 비전기식 정수기 도매업 / 도매 및 소매업,
4644,"의약품, 의료용품 및 화장품 도매업",세분류,"의약품, 각종 의료용품, 정형외과용품, 향수 및 화장품, 비누 및 세정 제 등을 도매하는 산업활동을 말한다.",,
46441,의약품 도매업,세세분류,최종 소비용 의약품 및 의약제제 등을 도매하는 산업활동을 말한다.,비타민제 도매 / 안약 도매 / 동물용 약품 도매 / 강장제 및 드링크제 도매(의약품),비의약품 드링크제 도매(46332) / 원료 상태의 의약제품 및 의료용 기초 화합물 도매(46739)
46442,의료용품 도매업,세세분류,"각종 의료용품 및 기타 의약 관련제품과 보청기, 의족 등 신체 보정 용품 및 정형외과용품 등을 도매하는 산업활동을 말한다.","혈액형 분류용 시약 도매 / 탈지면, 피복재, 습포제 도매 / 의족, 의치 및 의수 도매 / 살균한 외과용의 장선(캣커트), 봉합재 및 지혈제 도매",의료 기구 및 의료용 기계 / 기구 도매(46592)
46443,화장품 및 화장용품 도매업,세세분류,화장품 및 관련 제품을 도매하는 산업활동을 말한다.,"스킨, 로션 및 향수 도매 / 무스 및 스프레이 도매 / 화장 도구 도매 / 머리 염색약 및 머릿기름 도매 / 구강 세척제 도매 / 렌즈 세정액(클리너) 도매 / 탈모제 및 파마약 도매",
46444,비누 및 세정제 도매업,세세분류,"각종 용도의 비누, 세정제를 도매하는 산업활동을 말한다.","세수 및 약용 비누 도매 / 주방 및 세탁용 세제 도매 / 락스 도매 / 치약 도매 / 4645 생활용 포장 / 위생용품, 문구용품 및 출판 인쇄물 도매업 / 종이 및 종이제품, 각종 재료의 포장 및 위생용품, 서적 / 잡지 및 신 / 문, 문구용품 등을 도매하는 산업활동을 말한다.",
46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업",세세분류,"주방용 포장용품, 위생용 종이제품, 종이 또는 비닐제의 가방 등을 도 매하는 산업활동을 말한다.","포장지(랩, wrap) 도매 / 은박지 도매 / 화장지 및 냅킨 도매 / 쇼핑백 도매","포장용 판지 상자 및 골판지 상자, 골판지 / 판지 및 크라프트지 도 / 매(46750) / 폴리에틸렌 필름 도매(46799) / 도매 및 소매업 / 장판지, 벽지, 융단 원단 및 마루덮개 도매(46692) / 편지지, 편지봉투 및 서예지 도매(46452)"
46452,"문구용품, 회화용품, 사무용품 도매업",세세분류,"필기용구 등 문구용품, 회화용품, 사무용품 등을 도매하는 산업활동을 말한다.","공책, 메모장, 필기구, 각종 문구 용지 도매 / 펀치, 호치키스 도매 / 접착 테이프 도매 매 / 인주, 고무 도장(스탬프) 도매 / 절단 종이 도매 / 분필 도매 / 책상용 고무판 도매 / 크레용, 도화 물감 도매 / 공테이프 / CD / DVD 도매",
46453,"서적, 잡지 및 기타 인쇄물 도매업",세세분류,"각종 서적, 간행물, 팸플릿, 신문 및 기타 인쇄물 등을 도매하는 산업 활동을 말한다. 비디오물 및 음반, 각종 소프트웨어 이외의 각종 출판","각종 종이 인쇄물 및 출판물 도매 / 교과서 및 학습지 도매 / 만화 및 주간지 도매 / 어학 교재 및 어학 테이프 도매 / 달력(캘린더) 도매 / 소설, 수필, 시집 도매 / 대분류 G / 기록물 도매(음반 / 비디오 기록물, 소프트웨어 제외) / CD, DVD 등 전자매체에 수록한 어학사전, 백과사전, 동화책 도매","음반, 비디오물 도매(46461) / 범용성 소프트웨어 도매(46510) / 공테이프 / CD / DVD 도매(46452)"
4646,"음반 및 비디오물, 악기, 오락 및 경기용품 도매업",세분류,"음반 및 비디오물, 악기, 장난감 및 오락용품, 운동 및 경기용품, 자전 거 등을 도매하는 산업활동을 말한다.",,
46461,음반 및 비디오물 도매업,세세분류,"음악 및 영상물을 수록한 테이프, 레코드, CD, DVD 등을 도매하는 산업활동을 말한다.","음악 및 영상물 수록 CD 도매 / 음악 테이프, CD, DVD 도매 / 음반 도매 / 비디오 테이프, CD, DVD 도매",비디오 및 음악 이외의 기록매체 도매(46453)
46462,악기 도매업,세세분류,"현악기, 타악기, 관악기, 건반악기 등 각종 악기를 도매하는 산업활동 을 말한다.","피아노 도매 / 금관 악기 및 목관 악기 도매 / 도매 및 소매업 / 전자 악기 도매 / 장구, 북 등 전통 악기 도매 / 국악기 도매 / 하모니카 등 기타 악기 도매",
46463,"장난감 및 취미, 오락용품 도매업",세세분류,"각종 장난감, 모조 장식품, 오락용 기기 및 장비를 도매하는 산업활동 을 말한다.",낚시도구 도매 / 오락 게임용품 도매 / 유희용구 도매 / 당구장비 및 물품 도매 / 화투 및 트럼프 도매 / 트로피 도매 매 / 세발 자전거 도매,볼링장비 및 물품 도매(46464) / 의복 액세서리(귀금속 제외) 및 모조 장신용품 도매(46417)
46464,운동 및 경기용품 도매업,세세분류,각종 운동 및 경기용품을 도매하는 산업활동을 말한다.,"운동장비 도매 / 등산장비 및 용품 도매 / 경기용품 도매 / 등산화, 스키화 등 전문 스포츠 신발 도매 / 볼링장비 도매",
46465,자전거 및 기타 운송장비 도매업,세세분류,자전거 등의 기타 가정용 운송장비를 도매하는 산업활동을 말한다.,자전거 및 부품 도매 / 개인용 운송장비 도매(동력식) / 대분류 G / 유모차 도매,
4649,"가방, 시계, 안경 및 기타 생활용품 도매업",세분류,"가방 및 보호용 케이스, 시계 및 귀금속 제품, 안경, 사진장비 및 광 학용품 등의 기타 생활용품을 도매하는 산업활동을 말한다.",,
46491,가방 및 보호용 케이스 도매업,세세분류,"각종 재료(가죽, 플라스틱, 직물 등)로 만든 가방, 여행용품 및 기타 가정용 관련 가죽제품을 도매하는 산업활동을 말한다.",지갑 및 핸드백 도매 / 열쇠 케이스 도매 / 여행용 가방(트렁크) 도매 / 화장품 케이스 도매 / 보호용 케이스 도매,
