KSIC코드,업종명,레벨,정의,예시,제외
21301,체외 진단 시약 제조업,세세분류,인간이나 동물로부터 유래하는 검체를 체외에서 검사하기 위하여 단 독 또는 조합하여 사용하는 시약을 제조하는 산업활동을 말한다. 키,혈액 / 소변 검사용 시약 / 혈액형 분류용 시약 / 임신진단 시약 / 독감진단 시약,과학용 / 산업 실험용 조제 및 분석 시약(20499) / 환자투여용 진단시약 제조(21309) / 제 조 업
21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,"재료를 불문하고 내과용, 외과용, 치과용 및 수의과용 등의 의료적 처 치에 사용될 수 있도록 살균, 부패방지 등 특수 처리된 각종 의료용 제 품 및 기타 의약 관련제품 제조활동을 포함한다. 조","피임성의 화학 조제품 제조 / 탈지면, 창상 등 의료용 피복재, 습포제 제조 / 치과용 시멘트, 충전제 및 뼈 성형용 시멘트 제조 / 살균한 외과용 장선(캣거트) 및 살균한 유사 봉합재(천연섬유, 합성 / 섬유, 금속 재료 등 포함) 제조 / 살균한 외과용 또는 치과용 지혈제 및 유착방지제 제조 / 엑스선 검사용 조영제 제조 / 살균한 라미나리아 제조 / 의약품 등을 갖춘 구급상자, 구급대 제조",정형외과용품 제조(27194) / 의사용 의료대(27199) / 목제 구급상자 케이스(16299) / 살균하지 않은 장선(15190) / 대분류 C
22,고무 및 플라스틱제품 제조업,중분류,"고무 또는 플라스틱 물질을 사출․압출․성형 및 기타 가공하여 각종 형태의 가정용, 공업용 또는 기타 용도의 1차 제품, 반제품 및 완제품 을 제조하는 산업활동을 포함한다.",,합성고무 및 플라스틱 물질 제조(2020) / 폐고무 / 폐플라스틱 제품을 처리하여 만든 이차원료(제조 원료로 / 직접 사용하기 위해서는 추가 가공이 필요한 원료) 생산(383)
2211,고무 타이어 및 튜브 생산업,세분류,"항공기, 차량, 건설 및 광업용 기계․장비, 물품 이동용 기계․장비, 완구 및 기타 용도에 사용되는 타이어 또는 튜브, 재생 타이어 및 타 이어 재생용 부분품을 생산하는 산업활동을 말한다.",,타이어 튜브 수리 활동(952)
22110,고무 타이어 및 튜브 제조업,세세분류,"각종 차량, 항공기, 자전거, 이륜 자동차 등에 사용되는 타이어, 튜브 및 재생용 부분품을 생산하는 산업활동을 말한다. 중고 타이어를 재",이너 튜브 제조 / 고무제 공기 타이어 제조 / 고무제 솔리드 타이어 제조 / 고무 타이어 재생용 캐멀백(camel back) 스트립 제조 / 타이어 트레드 고무 제조 / 제 조 업,폐타이어를 이용한 고무분말 생산(38322)
2219,기타 고무제품 제조업,세분류,"인조고무, 천연고무 및 고무 성질을 갖는 검을 원재료로 사용하여 판, 시트, 스트립, 로드(rod), 프로파일, 튜브, 파이프, 호스, 컨베이어용 및 전동용 벨트와 벨팅(벨트 재료), 위생용 고무제품 등을 제조하는 산업 활동을 말한다. 이러한 제품들은 비가황 또는 가황한 비경화 및 경화",,고무농장에서의 고무 생산(01140) / 탄성 직물제 봉제 의류 제조(141) / 팽창성 부유물 또는 보트 제조(311) / 셀룰라고무 매트리스 제조(32011) / 재생 고무제품 제조용 이차원료 생산(383)
22191,고무 패킹류 제조업,세세분류,"관 이음매 또는 틈새 따위에 물이나 공기가 새지 않도록 끼워 넣는 고무제 개스킷, 마개, 와셔, 실(seal, 봉함재) 등 밀봉용 고무제품을 제 조하는 산업활동을 말한다. 이러한 제품은 가황하거나 방직용 섬유물","고무 패킹 제조 / 고무 디스크(disc), 링(ring) 및 와셔(washer) 제조",
22192,산업용 그 외 비경화 고무제품 제조업,세세분류,"비경화 고무 배합물․용액 및 분산액, 1차 형태 및 기타 형태의 산업 대분류 C 용 비경화 고무제품을 제조하는 산업활동을 말한다. 이러한 제품은",배합고무 라텍스 제조 / 고무봉 / 관 / 호스 제조 / 기계용 비경화 고무제품 제조 / 전동용 벨트 제조(고무 피복) / 고무를 피복한 방직용 섬유 직물(고무가 주재료인 경우) 제조 / 고무를 주재료로 만든 접착 테이프 제조,고무사 세폭직물 직조(13991) / 타이어코드 직물 제조(13993) / 재생 타이어용 캐멀백 스트립 제조(22110) / 위생용 비경화 고무제품 제조(22193) / 경화 고무제품 제조(22199)
22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,"비경화 가황 고무를 압출․성형․접합하여 의복, 의복 액세서리 및 기타 위생용 고무제품을 제조하는 산업활동을 말한다.",고무 장갑 및 모자 제조 / 방사선 방호복 제조 / 잠수복 제조 / 고무 젖꼭지 제조 / 의류 및 의류 부속품 제조 / 콘돔 및 피임용품 제조 / 위생용품 및 의료용품 제조,고무 신발 제조(15219)
22199,그 외 기타 고무제품 제조업,세세분류,제 조 업 각종 형태의 경화 고무제품 및 발포 성형 고무제품을 제조하거나 구 입한 1차 형태의 비경화 고무제품을 절단․접합․표면 가공하여 각종 고무제품을 제조하는 산업활동을 포함한다.,지우개 제조 / 고무 밴드 제조 / 고무 스펀지 제조 / 비경화 고무 가공품 제조 / 쿠션 및 베개 제조 / 바닥깔개와 매트 제조 / 고무제 자석 제조,고무 재생제품 제조용 가공 이차원료 생산(383) / 고무자석 원료인 고무제품 제조(22192)
