KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 모래 및 자갈 채취업"
07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
07220,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0722,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 천일염 생산 및 암염 채취업
07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
08000,B,광업,08,광업 지원 서비스업,080,광업 지원 서비스업,0800,광업 지원 서비스업,광업 지원 서비스업,광업 > 광업 지원 서비스업
10111,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,육류 도축업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 도축업 > 육류 도축업(가금류 제외)"
10112,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,가금류 도축업,"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 도축업 > 가금류 도축업"
10121,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 가금류 가공 및 저장 처리업"
10122,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 육류 포장육 및 냉동육 가공업(가금류 제외)"
10129,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 육류 기타 가공 및 저장 처리업(가금류 제외)"
10211,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업","제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 훈제, 조리 및 유사 조제식품 제조업"
10212,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 건조 및 염장품 제조업
10213,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 냉동품 제조업
10219,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 기타 수산동물 가공 및 저장 처리업
10220,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1022,수산식물 가공 및 저장 처리업,수산식물 가공 및 저장 처리업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산식물 가공 및 저장 처리업
10301,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",김치류 제조업,"제조업 > 식료품 제조업 > 과실, 채소 가공 및 저장 처리업 > 김치류 제조업"
10302,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",과실 및 그 외 채소 절임식품 제조업,"제조업 > 식료품 제조업 > 과실, 채소 가공 및 저장 처리업 > 과실 및 그 외 채소 절임식품 제조업"
10309,C,제조업,10,식료품 제조업,103,"과실, 채소 가공 및 저장 처리업",1030,"과실, 채소 가공 및 저장 처리업",기타 과실ㆍ채소 가공 및 저장 처리업,"제조업 > 식료품 제조업 > 과실, 채소 가공 및 저장 처리업 > 기타 과실ㆍ채소 가공 및 저장 처리업"
10411,C,제조업,10,식료품 제조업,104,동ㆍ식물성 유지 및 낙농제품 제조업,1041,동물성 및 식물성 유지 제조업,동물성 유지 제조업,제조업 > 식료품 제조업 > 동ㆍ식물성 유지 및 낙농제품 제조업 > 동물성 및 식물성 유지 제조업 > 동물성 유지 제조업
10412,C,제조업,10,식료품 제조업,104,동ㆍ식물성 유지 및 낙농제품 제조업,1041,동물성 및 식물성 유지 제조업,식물성 유지 제조업,제조업 > 식료품 제조업 > 동ㆍ식물성 유지 및 낙농제품 제조업 > 동물성 및 식물성 유지 제조업 > 식물성 유지 제조업
10413,C,제조업,10,식료품 제조업,104,동ㆍ식물성 유지 및 낙농제품 제조업,1041,동물성 및 식물성 유지 제조업,식용 정제유 및 가공유 제조업,제조업 > 식료품 제조업 > 동ㆍ식물성 유지 및 낙농제품 제조업 > 동물성 및 식물성 유지 제조업 > 식용 정제유 및 가공유 제조업
10421,C,제조업,10,식료품 제조업,104,동ㆍ식물성 유지 및 낙농제품 제조업,1042,낙농제품 및 식용 빙과류 제조업,액상 시유 및 기타 낙농제품 제조업,제조업 > 식료품 제조업 > 동ㆍ식물성 유지 및 낙농제품 제조업 > 낙농제품 및 식용 빙과류 제조업 > 액상 시유 및 기타 낙농제품 제조업
10422,C,제조업,10,식료품 제조업,104,동ㆍ식물성 유지 및 낙농제품 제조업,1042,낙농제품 및 식용 빙과류 제조업,아이스크림 및 기타 식용 빙과류 제조업,제조업 > 식료품 제조업 > 동ㆍ식물성 유지 및 낙농제품 제조업 > 낙농제품 및 식용 빙과류 제조업 > 아이스크림 및 기타 식용 빙과류 제조업
10511,C,제조업,10,식료품 제조업,105,"곡물 가공품, 전분 및 전분제품 제조업",1051,곡물 가공품 제조업,곡물 도정업,"제조업 > 식료품 제조업 > 곡물 가공품, 전분 및 전분제품 제조업 > 곡물 가공품 제조업 > 곡물 도정업"
10512,C,제조업,10,식료품 제조업,105,"곡물 가공품, 전분 및 전분제품 제조업",1051,곡물 가공품 제조업,곡물 제분업,"제조업 > 식료품 제조업 > 곡물 가공품, 전분 및 전분제품 제조업 > 곡물 가공품 제조업 > 곡물 제분업"
10513,C,제조업,10,식료품 제조업,105,"곡물 가공품, 전분 및 전분제품 제조업",1051,곡물 가공품 제조업,곡물 혼합 분말 및 반죽 제조업,"제조업 > 식료품 제조업 > 곡물 가공품, 전분 및 전분제품 제조업 > 곡물 가공품 제조업 > 곡물 혼합 분말 및 반죽 제조업"
10519,C,제조업,10,식료품 제조업,105,"곡물 가공품, 전분 및 전분제품 제조업",1051,곡물 가공품 제조업,기타 곡물 가공품 제조업,"제조업 > 식료품 제조업 > 곡물 가공품, 전분 및 전분제품 제조업 > 곡물 가공품 제조업 > 기타 곡물 가공품 제조업"
10520,C,제조업,10,식료품 제조업,105,"곡물 가공품, 전분 및 전분제품 제조업",1052,전분제품 및 당류 제조업,전분제품 및 당류 제조업,"제조업 > 식료품 제조업 > 곡물 가공품, 전분 및 전분제품 제조업 > 전분제품 및 당류 제조업"
10601,C,제조업,10,식료품 제조업,106,"떡, 빵 및 과자류 제조업",1060,"떡, 빵 및 과자류 제조업",떡류 제조업,"제조업 > 식료품 제조업 > 떡, 빵 및 과자류 제조업 > 떡류 제조업"
10602,C,제조업,10,식료품 제조업,106,"떡, 빵 및 과자류 제조업",1060,"떡, 빵 및 과자류 제조업",빵류 제조업,"제조업 > 식료품 제조업 > 떡, 빵 및 과자류 제조업 > 빵류 제조업"
10603,C,제조업,10,식료품 제조업,106,"떡, 빵 및 과자류 제조업",1060,"떡, 빵 및 과자류 제조업",과자류 및 코코아 제품 제조업,"제조업 > 식료품 제조업 > 떡, 빵 및 과자류 제조업 > 과자류 및 코코아 제품 제조업"
10701,C,제조업,10,식료품 제조업,107,도시락 및 식사용 조리식품 제조업,1070,도시락 및 식사용 조리식품 제조업,도시락류 제조업,제조업 > 식료품 제조업 > 도시락 및 식사용 조리식품 제조업 > 도시락류 제조업
10709,C,제조업,10,식료품 제조업,107,도시락 및 식사용 조리식품 제조업,1070,도시락 및 식사용 조리식품 제조업,기타 식사용 가공처리 조리식품 제조업,제조업 > 식료품 제조업 > 도시락 및 식사용 조리식품 제조업 > 기타 식사용 가공처리 조리식품 제조업
10810,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1081,설탕 제조업,설탕 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 설탕 제조업
10820,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1082,"면류, 마카로니 및 유사 식품 제조업","면류, 마카로니 및 유사 식품 제조업","제조업 > 식료품 제조업 > 기타 식품 제조업 > 면류, 마카로니 및 유사 식품 제조업"
10831,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1083,조미료 및 식품 첨가물 제조업,"식초, 발효 및 화학 조미료 제조업","제조업 > 식료품 제조업 > 기타 식품 제조업 > 조미료 및 식품 첨가물 제조업 > 식초, 발효 및 화학 조미료 제조업"
10832,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1083,조미료 및 식품 첨가물 제조업,천연 및 혼합 조제 조미료 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 조미료 및 식품 첨가물 제조업 > 천연 및 혼합 조제 조미료 제조업
10833,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1083,조미료 및 식품 첨가물 제조업,장류 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 조미료 및 식품 첨가물 제조업 > 장류 제조업
10839,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1083,조미료 및 식품 첨가물 제조업,기타 식품 첨가물 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 조미료 및 식품 첨가물 제조업 > 기타 식품 첨가물 제조업
10891,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,커피 가공업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 커피 가공업
10892,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,차류 가공업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 차류 가공업
10893,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,수프 및 균질화식품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 수프 및 균질화식품 제조업
10894,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,두부 및 유사 식품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 두부 및 유사 식품 제조업
10895,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,인삼식품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 인삼식품 제조업
10896,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,건강 보조용 액화식품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 건강 보조용 액화식품 제조업
10897,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,건강 기능식품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 건강 기능식품 제조업
10899,C,제조업,10,식료품 제조업,108,기타 식품 제조업,1089,기타 식료품 제조업,그 외 기타 식료품 제조업,제조업 > 식료품 제조업 > 기타 식품 제조업 > 기타 식료품 제조업 > 그 외 기타 식료품 제조업
10901,C,제조업,10,식료품 제조업,109,동물용 사료 및 조제식품 제조업,1090,동물용 사료 및 조제식품 제조업,반려동물용 사료 제조업,제조업 > 식료품 제조업 > 동물용 사료 및 조제식품 제조업 > 반려동물용 사료 제조업
10902,C,제조업,10,식료품 제조업,109,동물용 사료 및 조제식품 제조업,1090,동물용 사료 및 조제식품 제조업,배합사료 제조업,제조업 > 식료품 제조업 > 동물용 사료 및 조제식품 제조업 > 배합사료 제조업
10903,C,제조업,10,식료품 제조업,109,동물용 사료 및 조제식품 제조업,1090,동물용 사료 및 조제식품 제조업,단미사료 및 기타 사료 제조업,제조업 > 식료품 제조업 > 동물용 사료 및 조제식품 제조업 > 단미사료 및 기타 사료 제조업
11111,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1111,발효주 제조업,탁주 및 약주 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 발효주 제조업 > 탁주 및 약주 제조업
11112,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1111,발효주 제조업,맥아 및 맥주 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 발효주 제조업 > 맥아 및 맥주 제조업
11119,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1111,발효주 제조업,기타 발효주 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 발효주 제조업 > 기타 발효주 제조업
11121,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1112,증류주 및 합성주 제조업,주정 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 증류주 및 합성주 제조업 > 주정 제조업
11122,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1112,증류주 및 합성주 제조업,소주 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 증류주 및 합성주 제조업 > 소주 제조업
11129,C,제조업,11,음료 제조업,111,알코올 음료 제조업,1112,증류주 및 합성주 제조업,기타 증류주 및 합성주 제조업,제조업 > 음료 제조업 > 알코올 음료 제조업 > 증류주 및 합성주 제조업 > 기타 증류주 및 합성주 제조업
11201,C,제조업,11,음료 제조업,112,비알코올 음료 및 얼음 제조업,1120,비알코올 음료 및 얼음 제조업,얼음 제조업,제조업 > 음료 제조업 > 비알코올 음료 및 얼음 제조업 > 얼음 제조업
11202,C,제조업,11,음료 제조업,112,비알코올 음료 및 얼음 제조업,1120,비알코올 음료 및 얼음 제조업,생수 생산업,제조업 > 음료 제조업 > 비알코올 음료 및 얼음 제조업 > 생수 생산업
11209,C,제조업,11,음료 제조업,112,비알코올 음료 및 얼음 제조업,1120,비알코올 음료 및 얼음 제조업,기타 비알코올 음료 제조업,제조업 > 음료 제조업 > 비알코올 음료 및 얼음 제조업 > 기타 비알코올 음료 제조업
12000,C,제조업,12,담배 제조업,120,담배 제조업,1200,담배 제조업,담배제품 제조업,제조업 > 담배 제조업 > 담배제품 제조업
13101,C,제조업,13,섬유제품 제조업; 의복 제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,면 방적업,제조업 > 섬유제품 제조업; 의복 제외 > 방적 및 가공사 제조업 > 면 방적업
13102,C,제조업,13,섬유제품 제조업; 의복 제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,모 방적업,제조업 > 섬유제품 제조업; 의복 제외 > 방적 및 가공사 제조업 > 모 방적업
13103,C,제조업,13,섬유제품 제조업; 의복 제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,화학섬유 방적업,제조업 > 섬유제품 제조업; 의복 제외 > 방적 및 가공사 제조업 > 화학섬유 방적업
13104,C,제조업,13,섬유제품 제조업; 의복 제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,연사 및 가공사 제조업,제조업 > 섬유제품 제조업; 의복 제외 > 방적 및 가공사 제조업 > 연사 및 가공사 제조업
13109,C,제조업,13,섬유제품 제조업; 의복 제외,131,방적 및 가공사 제조업,1310,방적 및 가공사 제조업,기타 방적업,제조업 > 섬유제품 제조업; 의복 제외 > 방적 및 가공사 제조업 > 기타 방적업
13211,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1321,직물 직조업,면직물 직조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물 직조업 > 면직물 직조업
13212,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1321,직물 직조업,모직물 직조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물 직조업 > 모직물 직조업
13213,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1321,직물 직조업,화학섬유직물 직조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물 직조업 > 화학섬유직물 직조업
13219,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1321,직물 직조업,특수직물 및 기타 직물 직조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물 직조업 > 특수직물 및 기타 직물 직조업
13221,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1322,직물제품 제조업,침구 및 관련제품 제조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물제품 제조업 > 침구 및 관련제품 제조업
13222,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1322,직물제품 제조업,자수제품 및 자수용 재료 제조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물제품 제조업 > 자수제품 및 자수용 재료 제조업
13223,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1322,직물제품 제조업,커튼 및 유사 제품 제조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물제품 제조업 > 커튼 및 유사 제품 제조업
13224,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1322,직물제품 제조업,"천막, 텐트 및 유사 제품 제조업","제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물제품 제조업 > 천막, 텐트 및 유사 제품 제조업"
13225,C,제조업,13,섬유제품 제조업; 의복 제외,132,직물 직조 및 직물제품 제조업,1322,직물제품 제조업,직물포대 제조업,제조업 > 섬유제품 제조업; 의복 제외 > 직물 직조 및 직물제품 제조업 > 직물제품 제조업 > 직물포대 제조업
