색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
공기 액화용 기 제조,29177,"증류기, 열 교환기 및 가스 발생기 제조업",세세분류,MED,haeseolseo
공기 유입 조정장치 제조,27215,기기용 자동 측정 및 제어장치 제조업,세세분류,MED,haeseolseo
공기 조절기 제조,29172,가정용 및 산업용 공기 조화장치 제조업,세세분류,MED,haeseolseo
공기 청정기 제조,29175,기체 여과기 제조업,세세분류,MED,haeseolseo
공기 펌프 제조,29132,기체 펌프 및 압축기 제조업,세세분류,MED,haeseolseo
공기압 시스템에 사용되는 공기 준비장치 제조,29120,유압 기기 제조업,세세분류,MED,haeseolseo
공기총 제조,25200,무기 및 총포탄 제조업,세세분류,MED,haeseolseo
공성 유리 제조,23129,기타 산업용 유리제품 제조업,세세분류,MED,haeseolseo
공업용 가열기 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
공업용 방사선 장치 제조,27111,방사선 장치 제조업,세세분류,MED,haeseolseo
공업용 플라스틱제품 제조,22241,운송장비 조립용 플라스틱제품 제조업,세세분류,MED,haeseolseo
공익 광고 영화 제작,59113,광고 영화 및 비디오물 제작업,세세분류,MED,haeseolseo
공작기계용 특수 부착물 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
공작물 조립기 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
과 이와 유사한 가정용 기구 제조,28520,가정용 비전기식 조리 및 난방 기구 제조업,세세분류,MED,haeseolseo
과산화수소 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
과실 및 채소 건조식품 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
과실 및 채소 샐러드 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
"과실 및 채소 잼, 젤리 제조",10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
과실 및 채소 주스 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
과실 발효주 제조,11119,기타 발효주 제조업,세세분류,MED,haeseolseo
과실 절임식품 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
과실 통조림 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
관 및 관 연결구류 제조,24229,"기타 비철금속 압연, 압출 및 연신제품 제조업",세세분류,MED,haeseolseo
"관, 로드, 바, 프로파일 및 기타 형의 알루미늄 제조",24222,"알루미늄 압연, 압출 및 연신제품 제조업",세세분류,MED,haeseolseo
관광 지도 제작,72922,제도업,세세분류,MED,haeseolseo
관상용 조류 사육,01239,기타 가금류 및 조류 사육업,세세분류,MED,haeseolseo
관악기 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
광 디스크 드라이브 제조,26321,기억 장치 제조업,세세분류,MED,haeseolseo
광고물 제조,33910,간판 및 광고물 제조업,세세분류,MED,haeseolseo
광고용 조명판 제조,28423,전시 및 광고용 조명장치 제조업,세세분류,MED,haeseolseo
광물 반죽기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물 분리기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물 선별기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물 성형기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물 세척기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물 파쇄기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
광물성 재료 가공기계 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
광물성 타르 제조,19100,코크스 및 연탄 제조업,세세분류,MED,haeseolseo
광물타르 증류 생산물 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
광석 채굴기 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
광선 응용 절삭기계 제조,29221,전자 응용 절삭기계 제조업,세세분류,MED,haeseolseo
광섬유 전송시스템 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
광섬유 제조,27301,광학 렌즈 및 광학 요소 제조업,세세분류,MED,haeseolseo
광전관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
광전도 셀 제조,26129,기타 반도체 소자 제조업,세세분류,MED,haeseolseo
"광전지, 태양전지 제조",26129,기타 반도체 소자 제조업,세세분류,MED,haeseolseo
광학 디스크 제조,26600,마그네틱 및 광학 매체 제조업,세세분류,MED,haeseolseo
광학 라이트빔 신호기 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
광학 망원경 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
