색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
"에폭시, 페놀 동박 적층판 제조",26221,인쇄회로기판용 적층판 제조업,세세분류,MED,haeseolseo
에폭시수지 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
엑스선 검사용 조영제 제조,21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
엑티노마이신 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
엔지니어링 플라스틱수지 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
엔진 부분품 제조,30310,자동차 엔진용 신품 부품 제조업,세세분류,MED,haeseolseo
엔진용 냉각장치 제조,30310,자동차 엔진용 신품 부품 제조업,세세분류,MED,haeseolseo
엠보싱 가공,18129,기타 인쇄관련 산업,세세분류,MED,haeseolseo
여객 운송용 특장차 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
여과기 제조,29175,기체 여과기 제조업,세세분류,MED,haeseolseo
여과용 종이제품 제조,17909,그 외 기타 종이 및 판지 제품 제조업,세세분류,MED,haeseolseo
여과지와 판지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
여과포 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
여우 및 곰 사육,01299,그 외 기타 축산업,세세분류,MED,haeseolseo
"여자용 코트류, 바지류 제조",14112,여자용 겉옷 제조업,세세분류,MED,haeseolseo
역량계 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
역청 물질 혼합 블록제품 제조,23991,아스팔트 콘크리트 및 혼합제품 제조업,세세분류,MED,haeseolseo
역청 물질을 도포한 종이 및 판지 제조,17904,"적층, 합성 및 특수 표면처리 종이 제조업",세세분류,MED,haeseolseo
"연고, 패치, 스프레이 형태 의약품 제조",21212,합성의약품 및 기타 완제 의약품 제조업,세세분류,MED,haeseolseo
연료용 나무 생산,02020,벌목업,세세분류,MED,haeseolseo
연료용 석탄 가스 생산,35200,연료용 가스 제조 및 배관공급업,세세분류,MED,haeseolseo
연료용 혼합 가스 생산,35200,연료용 가스 제조 및 배관공급업,세세분류,MED,haeseolseo
연료유 제조,19210,원유 정제처리업,세세분류,MED,haeseolseo
연료탱크 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
연마용 수지석 제조,23992,연마재 제조업,세세분류,MED,haeseolseo
연마하지 않은 안경유리 제조,2312,산업용 유리 제조업,세분류,MED,haeseolseo
"연미복, 턱시도 등 예복 제조",14111,남자용 겉옷 제조업,세세분류,MED,haeseolseo
연삭기 및 평삭기 제조,29223,금속 절삭기계 제조업,세세분류,MED,haeseolseo
연소기가 장착된 산업용 노 및 오븐 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
연탄 가스 배출기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
연필 깎는 기계 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
"열 강화유리, 화학 강화유리 제조",23112,안전유리 제조업,세세분류,MED,haeseolseo
열 교환장치 제조,29177,"증류기, 열 교환기 및 가스 발생기 제조업",세세분류,MED,haeseolseo
열간 스테인레스강 평판 제조,24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
"열간 압연, 압출 및 인발 철강 제조",24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
열간 철강 봉 제조,24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
열간 철강 형강 제조,24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
열간 합금강 평판 제조,24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
열식 복사기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
열식 살균장치 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
열처리 강재 생산,24191,"도금, 착색 및 기타 표면 처리 강재 제조업",세세분류,MED,haeseolseo
열펌프 제조,29171,산업용 냉장 및 냉동장비 제조업,세세분류,MED,haeseolseo
염기성 제강 슬래그 가공품 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
"염색 촉진 및 고착용 염색 캐리어, 드레싱 및 매염제 제조",20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,MED,haeseolseo
염주 및 관련제품 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
영사용 스크린 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
영상변화관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
영상증강관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
영수증 용지 제조,17901,문구용 종이제품 제조업,세세분류,MED,haeseolseo
예술 복제품 제조,58190,기타 인쇄물 출판업,세세분류,MED,haeseolseo
예인선 및 푸셔 크라프트 제조,31111,강선 건조업,세세분류,MED,haeseolseo
오가피주 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
오락용 테이블 및 장비 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
"오르간, 파이프 오르간 제조",33201,건반 악기 제조업,세세분류,MED,haeseolseo
오목판 인쇄,18113,오프셋 인쇄업,세세분류,MED,haeseolseo
오이피클 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
오징어채 제조,10219,기타 수산동물 가공 및 저장 처리업,세세분류,MED,haeseolseo
오토바이 제조,31921,모터사이클 제조업,세세분류,MED,haeseolseo
오프셋 인쇄용 기계 제조,29292,인쇄 및 제책용 기계 제조업,세세분류,MED,haeseolseo
"옥수수, 콩, 녹두 재배",01110,곡물 및 기타 식량작물 재배업,세세분류,MED,haeseolseo
온도 및 습도계 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
온도 변화에 반응하는 전기 저항기 제조,27216,산업 처리공정 제어장비 제조업,세세분류,MED,haeseolseo
온도 자동 조정장치 제조,27215,기기용 자동 측정 및 제어장치 제조업,세세분류,MED,haeseolseo
올레오유 생산,10411,동물성 유지 제조업,세세분류,MED,haeseolseo
"와이셔츠, 티셔츠 제조",14191,셔츠 및 블라우스 제조업,세세분류,MED,haeseolseo
와이어 하니스 제조,28303,절연 코드세트 및 기타 도체 제조업,세세분류,MED,haeseolseo
완구용 목제품 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
"완충기, 서스펜션 및 부분품 제조",30391,자동차용 신품 조향장치 및 현가장치 제조업,세세분류,MED,haeseolseo
왕복식 피스톤 내연기관 제조,30110,자동차용 엔진 제조업,세세분류,MED,haeseolseo
요업용 물감 제조,20412,요업용 도포제 및 관련제품 제조업,세세분류,MED,haeseolseo
요업용 프리트 제조,20412,요업용 도포제 및 관련제품 제조업,세세분류,MED,haeseolseo
용접 형강 제조,24199,그 외 기타 1차 철강 제조업,세세분류,MED,haeseolseo
우각유 및 그 분획물 생산,10411,동물성 유지 제조업,세세분류,MED,haeseolseo
우라늄 제련 및 정련,24219,"기타 비철금속 제련, 정련 및 합금 제조업",세세분류,MED,haeseolseo
우렁이 양식,03212,내수면 양식 어업,세세분류,MED,haeseolseo
우레인 및 그 유도체 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
우레탄 스펀지 제조,22259,기타 플라스틱 발포 성형제품 제조업,세세분류,MED,haeseolseo
우마차 제조,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,세세분류,MED,haeseolseo
"우산, 양산, 지팡이 제조",33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
우의 및 방수복 제조,14199,그 외 기타 봉제의복 제조업,세세분류,MED,haeseolseo
우편물 처리기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
우편요금 계기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
우편함 및 우체통 제조,25991,금속 캔 및 기타 포장용기 제조업,세세분류,MED,haeseolseo
운동 경기용 보호 모자 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
운동용 선박 제조,31120,오락 및 스포츠용 보트 건조업,세세분류,MED,haeseolseo
"운동용 썰매, 스케이트 제조",33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
운동화 제조,15219,기타 신발 제조업,세세분류,MED,haeseolseo
운반용 목재 파렛트 제조,16231,목재 깔판류 및 기타 적재판 제조업,세세분류,MED,haeseolseo
운송용 썰매 제조,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,세세분류,MED,haeseolseo
운송장비 조립용 부분품 제조,22241,운송장비 조립용 플라스틱제품 제조업,세세분류,MED,haeseolseo
운송장비용 납축전지 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
운송장비용 니켈 수소 전지 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
운송장비용 니켈 카드뮴 전지 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
운송장비용 리튬 이온 이차전지 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
운송장비용 에어컨디셔너 및 공기 조절장치 제조,29173,운송장비용 공기 조화장치 제조업,세세분류,MED,haeseolseo
운송장비용 이차전지 격리판 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
운송장비용 조명 기구 제조,28421,운송장비용 조명장치 제조업,세세분류,MED,haeseolseo
운송장비용 항온 및 항습기 제조,29173,운송장비용 공기 조화장치 제조업,세세분류,MED,haeseolseo
운전대 및 운전 박스 제조,30391,자동차용 신품 조향장치 및 현가장치 제조업,세세분류,MED,haeseolseo
워드프로세싱기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
워크스테이션 제조,26310,컴퓨터 제조업,세세분류,MED,haeseolseo
워터 제트 절단기 제조,29221,전자 응용 절삭기계 제조업,세세분류,MED,haeseolseo
원심 분리기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
원심 청정기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
원심 펌프 제조,29131,액체 펌프 제조업,세세분류,MED,haeseolseo
원심식 의류 건조기 제조,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",세세분류,MED,haeseolseo
"원피스, 스커트 제조",14112,여자용 겉옷 제조업,세세분류,MED,haeseolseo
웨이퍼 식각 및 현상기계 제조,29271,반도체 제조용 기계 제조업,세세분류,MED,haeseolseo
위생용 섬유 충전제품 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
위생용기 제조,23222,위생용 및 산업용 도자기 제조업,세세분류,MED,haeseolseo
위생용품 및 의료용품 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
위성 항법장치 수신 기 제조,27211,"레이더, 항행용 무선 기기 및 측량 기구 제조업",세세분류,MED,haeseolseo
위스키 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
유기 및 무기질 비료 배합물 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
유기 발광 다이오드 제조업,26121,발광 다이오드 제조업,세세분류,MED,haeseolseo
유기 혼합 용제 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
유기질 비료 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
유당 및 유당 시럽 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
유람용 보트 제조,31120,오락 및 스포츠용 보트 건조업,세세분류,MED,haeseolseo
유류 여과기 제조,29176,액체 여과기 제조업,세세분류,MED,haeseolseo
유리 및 다이아몬드 가공용 수공구 제조,25933,비동력식 수공구 제조업,세세분류,MED,haeseolseo
유리 앰플 제조,23192,포장용 유리용기 제조업,세세분류,MED,haeseolseo
유리병 및 유리제 마개류 제조,23192,포장용 유리용기 제조업,세세분류,MED,haeseolseo
"유리섬유 슬라이버, 로빙, 실, 솜 제조",2312,산업용 유리 제조업,세분류,MED,haeseolseo
유리제 비드 제조,23199,그 외 기타 유리제품 제조업,세세분류,MED,haeseolseo
유리제 소상 제조,23199,그 외 기타 유리제품 제조업,세세분류,MED,haeseolseo
유리제 안구 제조,23199,그 외 기타 유리제품 제조업,세세분류,MED,haeseolseo
"유리제 전자기기용, 전구 등 조명기기용 외피, 밸브와 튜브 제조",23129,기타 산업용 유리제품 제조업,세세분류,MED,haeseolseo
유모차 제조,31991,자전거 및 환자용 차량 제조업,세세분류,MED,haeseolseo
유선 영상 전신기 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
유선 전신장치 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
유선 전화기 세트 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
유선 팩시밀리 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
유성 회구류 제조,20413,인쇄 잉크 및 회화용 물감 제조업,세세분류,MED,haeseolseo
유아용 냅킨 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
유아용 의복 액세서리 제조,14194,유아용 의복 제조업,세세분류,MED,haeseolseo
유아용 의복 제조,14194,유아용 의복 제조업,세세분류,MED,haeseolseo
유압 모터 제조,29120,유압 기기 제조업,세세분류,MED,haeseolseo
"유압 밸브, 호스, 연결구 제조",29120,유압 기기 제조업,세세분류,MED,haeseolseo
유압 시스템 제조,29120,유압 기기 제조업,세세분류,MED,haeseolseo
유압 실린더 제조,29120,유압 기기 제조업,세세분류,MED,haeseolseo
유압 펌프 제조,29120,유압 기기 제조업,세세분류,MED,haeseolseo
유약용 화장토 제조,20412,요업용 도포제 및 관련제품 제조업,세세분류,MED,haeseolseo
유자 발효주 제조,11119,기타 발효주 제조업,세세분류,MED,haeseolseo
유전자치료제 제조,21211,생물 의약품 제조업,세세분류,MED,haeseolseo
유조선 제조,31111,강선 건조업,세세분류,MED,haeseolseo
유지 추출기계 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
유지작물 재배,01140,기타 작물 재배업,세세분류,MED,haeseolseo
유희용 카드 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
유희용구 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
유희장용품 제조,33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
육지 동물고기 건조,10129,육류 기타 가공 및 저장 처리업(가금류 제외),세세분류,MED,haeseolseo
육지 동물고기 분 및 조분 생산,10129,육류 기타 가공 및 저장 처리업(가금류 제외),세세분류,MED,haeseolseo
육지 동물고기 커틀릿 제조,10129,육류 기타 가공 및 저장 처리업(가금류 제외),세세분류,MED,haeseolseo
육지 동물고기 통조림 제조,10129,육류 기타 가공 및 저장 처리업(가금류 제외),세세분류,MED,haeseolseo
"육지 동물고기 햄, 소시지 제조",10129,육류 기타 가공 및 저장 처리업(가금류 제외),세세분류,MED,haeseolseo
육지 동물고기 혼합 추출물 엑스 제조,10896,건강 보조용 액화식품 제조업,세세분류,MED,haeseolseo
윤활유 기유 제조,19210,원유 정제처리업,세세분류,MED,haeseolseo
윤활유 제조,19221,윤활유 및 그리스 제조업,세세분류,MED,haeseolseo
음극활물질 제조,28202,운송장비용 이차전지 제조업,세세분류,MED,haeseolseo
음료용 및 향신용 작물 건조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
음료용 작물 시설재배,01159,기타 시설작물 재배업,세세분류,MED,haeseolseo
음료용 탄산가스 주입기 제조,29191,"용기 세척, 포장 및 충전기 제조업",세세분류,MED,haeseolseo
음성 주파수 변환용 전자 코일 제조,26293,"전자코일, 변성기 및 기타 전자 유도자 제조업",세세분류,MED,haeseolseo
음식폐기물 가공 단미사료 생산,10903,단미사료 및 기타 사료 제조업,세세분류,MED,haeseolseo
음향 신호장치 제조,28901,전기 경보 및 신호장치 제조업,세세분류,MED,haeseolseo
응집 석탄제품 제조,19100,코크스 및 연탄 제조업,세세분류,MED,haeseolseo
의료 마사지용 기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
의료용 가구 제조,27196,의료용 가구 제조업,세세분류,MED,haeseolseo
의료용 검사 램프 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
"의료용, 이화학용 살균기 제조",27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
의류 건조기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
의류 및 의류 부속품 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
의류 부분품 제조,14199,그 외 기타 봉제의복 제조업,세세분류,MED,haeseolseo
의류용 장식 못 제조,33991,단추 및 유사 파스너 제조업,세세분류,MED,haeseolseo
의복 액세서리 정리 및 마무리 가공,13409,섬유제품 기타 정리 및 마무리 가공업,세세분류,MED,haeseolseo
의복 액세서리류 염색 가공,13402,"직물, 편조 원단 및 의복류 염색 가공업",세세분류,MED,haeseolseo
의복 염색 가공,13402,"직물, 편조 원단 및 의복류 염색 가공업",세세분류,MED,haeseolseo
의복 정리 및 마무리 가공,13409,섬유제품 기타 정리 및 마무리 가공업,세세분류,MED,haeseolseo
의안용 세정액 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
의약용 화합물 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
"의약품 등을 갖춘 구급상자, 구급대 제조",21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
이너 튜브 제조,22110,고무 타이어 및 튜브 제조업,세세분류,MED,haeseolseo
이눌린 제조,10520,전분제품 및 당류 제조업,세세분류,MED,haeseolseo
이동 공작차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
이동 방송차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
이동식 계단 제조,29162,승강기 제조업,세세분류,MED,haeseolseo
이동식 보도 제조,29162,승강기 제조업,세세분류,MED,haeseolseo
이동식 사다리 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
이륜 자전거 및 기타 자전거 제조,31991,자전거 및 환자용 차량 제조업,세세분류,MED,haeseolseo
이미테이션 라드 생산,10413,식용 정제유 및 가공유 제조업,세세분류,MED,haeseolseo
이산화규소 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
이산화황 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
이상 나뉜 리벳) 제조,25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
이쑤시개 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
이어폰 및 확성기 제조,265,영상 및 음향 기기 제조업,소분류,MED,haeseolseo
"이어폰, 헤드폰 제조",26529,기타 음향기기 제조업,세세분류,MED,haeseolseo
이온교환수지 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
이온빔 응용 절삭기계 제조,29221,전자 응용 절삭기계 제조업,세세분류,MED,haeseolseo
이크 라이닝 및 패드 등) 제조,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,세세분류,MED,haeseolseo
이화학용 가열기 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
인공 경량 골재 제조,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,세세분류,MED,haeseolseo
인공 보육기 제조,27112,전기식 진단 및 요법 기기 제조업,세세분류,MED,haeseolseo
인공 신장기용 투석기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
인공 장기 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
인공위성 제조,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업",세세분류,MED,haeseolseo
인발재 제조,16102,표면 가공목재 및 특정 목적용 제재목 제조업,세세분류,MED,haeseolseo
인버터 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
인산질 비료 제조,2031,비료 및 질소 화합물 제조업,세분류,MED,haeseolseo
인삼 분말 제조,10895,인삼식품 제조업,세세분류,MED,haeseolseo
인삼 즙 및 주스 제조,10895,인삼식품 제조업,세세분류,MED,haeseolseo
"인삼, 홍삼, 엽록소, 클로렐라 함유 가공식품 제조",10897,건강 기능식품 제조업,세세분류,MED,haeseolseo
인삼드링크 제조,11209,기타 비알코올 음료 제조업,세세분류,MED,haeseolseo
인삼차 제조,10895,인삼식품 제조업,세세분류,MED,haeseolseo
인쇄 보조용 기계 제조,29292,인쇄 및 제책용 기계 제조업,세세분류,MED,haeseolseo
인쇄용 박엽지 원지 제조,17103,인쇄용 및 필기용 원지 제조업,세세분류,MED,haeseolseo
인쇄용 원지 제조,17103,인쇄용 및 필기용 원지 제조업,세세분류,MED,haeseolseo
인쇄용 잉크 제조,20413,인쇄 잉크 및 회화용 물감 제조업,세세분류,MED,haeseolseo
인쇄회로 사진원판 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
인쇄회로 조립품 제조,26224,전자 부품 실장기판 제조업,세세분류,MED,haeseolseo
인쇄회로기판 표면실장용 기계 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
인스턴트 면류 제조,10820,"면류, 마카로니 및 유사 식품 제조업",세세분류,MED,haeseolseo
인스턴트 커리 제조,10832,천연 및 혼합 조제 조미료 제조업,세세분류,MED,haeseolseo
인조 미끼 제조,33303,낚시 및 수렵용구 제조업,세세분류,MED,haeseolseo
인조 섬유직물 직조,13213,화학섬유직물 직조업,세세분류,MED,haeseolseo
인조 커런덤제조,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,세세분류,MED,haeseolseo
인조꿀 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
인조모피 제조,15110,모피 및 가죽 제조업,세세분류,MED,haeseolseo
인조섬유 방적사 제조,13103,화학섬유 방적업,세세분류,MED,haeseolseo
인체 보정기 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
인체 부분 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
인터폰 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
인형 액세서리 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
인형극용 꼭두각시 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
"인형용 의류와 부속품, 신발과 모자 제조",33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
일반용 카메라 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
임신 진단기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
임업용 묘목 생산,02011,임업용 종묘 생산업,세세분류,MED,haeseolseo
임업용 수공구 제조,25933,비동력식 수공구 제조업,세세분류,MED,haeseolseo
임업용 종자 생산,02011,임업용 종묘 생산업,세세분류,MED,haeseolseo
잉크 스탠드 제조,23229,기타 일반 도자기 제조업,세세분류,MED,haeseolseo
잉크제트 프린터 제조,26323,컴퓨터 프린터 제조업,세세분류,MED,haeseolseo
잎담배 재건조,12000,담배제품 제조업,세세분류,MED,haeseolseo
잎담배 재배,01140,기타 작물 재배업,세세분류,MED,haeseolseo
잎채소 재배,01121,채소작물 재배업,세세분류,MED,haeseolseo
자동 단층 촬영기 제조,27111,방사선 장치 제조업,세세분류,MED,haeseolseo
자동 도어 작동기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
자동 마그네틱 테이프 제조기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
자동 변속기 제조,30331,자동차용 신품 동력 전달장치 제조업,세세분류,MED,haeseolseo
자동 판매기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
자동개폐식 다이헤드 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
자동기록기용 종이제품 제조,17901,문구용 종이제품 제조업,세세분류,MED,haeseolseo
"자동차 도어, 천장, 트렁크 제조",30320,자동차 차체용 신품 부품 제조업,세세분류,MED,haeseolseo
자동차 백미러 제조,23119,기타 판유리 가공품 제조업,세세분류,MED,haeseolseo
자동차 브레이크 시험대 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
자동차 엔진 및 차체 재제조 부품 제조,30400,자동차 재제조 부품 제조업,세세분류,MED,haeseolseo
자동차 차체 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
자동차용 교류기 제조,30332,자동차용 신품 전기장치 제조업,세세분류,MED,haeseolseo
자동차용 발전기 제조,30332,자동차용 신품 전기장치 제조업,세세분류,MED,haeseolseo
자동차용 방열기 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
자동차용 보닛 제조,30320,자동차 차체용 신품 부품 제조업,세세분류,MED,haeseolseo
자동차용 브레이크 및 관련 부분품 제조,30392,자동차용 신품 제동장치 제조업,세세분류,MED,haeseolseo
자동차용 의자 및 관련 부품 제조,30393,자동차용 신품 의자 제조업,세세분류,MED,haeseolseo
자동차용 전자 제어식 제동장치 제조,30392,자동차용 신품 제동장치 제조업,세세분류,MED,haeseolseo
자동차용 조립 패널 제조,30320,자동차 차체용 신품 부품 제조업,세세분류,MED,haeseolseo
자동차용 크랭크 회전식 모터 제조,30332,자동차용 신품 전기장치 제조업,세세분류,MED,haeseolseo
자료 전사기 제조,26329,기타 주변 기기 제조업,세세분류,MED,haeseolseo
자물쇠 및 열쇠에 결합되는 유금 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
자물쇠 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
자수기 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
자수기용 바늘 및 부분품 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
자수사 제조,13104,연사 및 가공사 제조업,세세분류,MED,haeseolseo
자수용 재료 세트 생산,13222,자수제품 및 자수용 재료 제조업,세세분류,MED,haeseolseo
자영 산림 내에서 임업 부산물 생산,02012,육림업,세세분류,MED,haeseolseo
자외선 조사 기 제조,28909,그 외 기타 전기장비 제조업,세세분류,MED,haeseolseo
자전거용 조명장치 제조,28421,운송장비용 조명장치 제조업,세세분류,MED,haeseolseo
작물 배양 재배,01159,기타 시설작물 재배업,세세분류,MED,haeseolseo
작물재배와 축산 복합 생산,01300,작물재배 및 축산 복합농업,세세분류,MED,haeseolseo
잔디 깎는 기계 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
잠망경 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
장갑 차량 제조,31910,전투용 차량 제조업,세세분류,MED,haeseolseo
장갑류 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
장난감 악기 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
장비 등의 제조,39009,기타 환경 정화 및 복원업,세세분류,MED,haeseolseo
장식용 도자기제품 제조,23221,가정용 및 장식용 도자기 제조업,세세분류,MED,haeseolseo
장식용 목재 칼집 제조,16292,장식용 목제품 제조업,세세분류,MED,haeseolseo
장식용 밀랍 제품 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
장식용 석재 가공품 제조,23919,기타 석제품 제조업,세세분류,MED,haeseolseo
장식용 수지 제품 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
장식용 자수제품 제조,13222,자수제품 및 자수용 재료 제조업,세세분류,MED,haeseolseo
