국세청_업종코드,국세청_대분류코드,국세청_대분류명,국세청_중분류코드,국세청_중분류명,국세청_소분류코드,국세청_소분류명,국세청_세분류코드,국세청_세분류명,국세청_세세분류명,KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
020200,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,02020,A,"농업, 임업 및 어업",02,임업,020,임업,0202,벌목업,벌목업,"농업, 임업 및 어업 > 임업 > 벌목업"
020300,A,"농업, 임업 및 어업",02,임업,020,임업,0203,임업 관련 서비스업,임업 관련 서비스업,02040,A,"농업, 임업 및 어업",02,임업,020,임업,0204,임업 관련 서비스업,임업 관련 서비스업,"농업, 임업 및 어업 > 임업 > 임업 관련 서비스업"
051102,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,연근해 어업,03112,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0311,해수면 어업,연근해 어업,"농업, 임업 및 어업 > 어업 > 어로 어업 > 해수면 어업 > 연근해 어업"
051104,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0511,해수면 어업,원양 어업,03111,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0311,해수면 어업,원양 어업,"농업, 임업 및 어업 > 어업 > 어로 어업 > 해수면 어업 > 원양 어업"
051200,A,"농업, 임업 및 어업",05,어업,051,어로 어업,0512,내수면 어업,내수면 어업,03120,A,"농업, 임업 및 어업",03,어업,031,어로 어업,0312,내수면 어업,내수면 어업,"농업, 임업 및 어업 > 어업 > 어로 어업 > 내수면 어업"
052101,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,해수면 양식 어업,03211,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,해수면 양식 어업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 해수면 양식 어업"
052103,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,내수면 양식 어업,03212,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,내수면 양식 어업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 내수면 양식 어업"
052104,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0521,양식 어업,수산물 부화 및 수산 종자 생산업,03213,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,수산물 부화 및 수산 종자 생산업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 수산물 부화 및 수산 종자 생산업"
052200,A,"농업, 임업 및 어업",05,어업,052,양식어업 및 어업관련 서비스업,0522,어업 관련 서비스업,어업 관련 서비스업,03220,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0322,어업 관련 서비스업,어업 관련 서비스업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 어업 관련 서비스업"
101000,B,광업,10,"석탄, 원유 및 천연가스 광업",101,석탄 광업,1010,석탄 광업,석탄 광업,05100,B,광업,05,"석탄, 원유 및 천연가스 광업",051,석탄 광업,0510,석탄 광업,석탄 광업,"광업 > 석탄, 원유 및 천연가스 광업 > 석탄 광업"
101001,B,광업,10,비금속광물 광업; 연료용 제외,101,기타 비금속광물 광업,1010,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
131000,B,광업,13,금속 광업,131,철 광업,1310,철 광업,철 광업,06100,B,광업,06,금속 광업,061,철 광업,0610,철 광업,철 광업,광업 > 금속 광업 > 철 광업
131003,B,광업,13,금속 광업,131,비철금속 광업,1310,비철금속 광업,비철금속 광업,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,광업 > 금속 광업 > 비철금속 광업
132002,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,광업 > 금속 광업 > 비철금속 광업
132003,B,광업,13,금속 광업,132,비철금속 광업,1320,비철금속 광업,비철금속 광업,06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,광업 > 금속 광업 > 비철금속 광업
141001,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 건설용 석재 채굴 및 쇄석 생산업"
141002,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,석회석 및 점토 광업,석회석 및 점토 광업,07110,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0711,석회석 및 점토 광업,석회석 및 점토 광업,광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석회석 및 점토 광업
141003,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 건설용 석재 채굴 및 쇄석 생산업"
141004,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 모래 및 자갈 채취업"
141006,B,광업,14,비금속광물 광업; 연료용 제외,141,토사석 광업,1410,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 모래 및 자갈 채취업"
142101,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
142102,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
142104,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1421,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
142200,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1422,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,07220,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0722,천일염 생산 및 암염 채취업,천일염 생산 및 암염 채취업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 천일염 생산 및 암염 채취업
142902,B,광업,14,비금속광물 광업; 연료용 제외,142,기타 비금속광물 광업,1429,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
142909,B,광업,14,"석탄, 원유 및 천연가스 광업",142,원유 및 천연가스 채굴업,1429,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,05200,B,광업,05,"석탄, 원유 및 천연가스 광업",052,원유 및 천연가스 채굴업,0520,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,"광업 > 석탄, 원유 및 천연가스 광업 > 원유 및 천연가스 채굴업"
