doc_id,business_code,doc_type,doc_text
015000__example2,015000,example,"육상에서 수행하는 수산 포유동물(해마, 바다표범) 포획"
015000__xref0,015000,xref,수렵관련 서비스 활동
015000__xref1,015000,xref,개구리 포획
020100__name0,020100,name,임업용 종묘 생산업
020100__hier0,020100,hier,"농업, 임업 및 어업 > 임업 > 임업 > 영림업"
020100__example0,020100,example,임업용 묘목 생산
020100__example1,020100,example,임업용 종자 생산
020100__xref0,020100,xref,육림용 종자 및 묘목 생산
020101__name0,020101,name,육림업
020101__hier0,020101,hier,"농업, 임업 및 어업 > 임업 > 임업 > 영림업"
020101__example0,020101,example,임목지 운영
020101__example1,020101,example,자영 산림 내에서 임업 부산물 생산
020101__xref0,020101,xref,육림업자가 자영 산림 내에서 야생식물을 채취하는 경우
020102__name0,020102,name,임산물 채취업
020102__hier0,020102,hier,"농업, 임업 및 어업 > 임업 > 임업 > 임산물 채취업"
020102__example0,020102,example,천연 검 및 수지 채취
020102__example1,020102,example,"쿠션, 매트리스 등 충전용 식물성 재료 채취"
020102__example2,020102,example,천연 코르크 채취
020102__example3,020102,example,"편조물용 식물성 재료 채취 농업, 임업 및 어업"
020200__name0,020200,name,벌목업
020200__hier0,020200,hier,"농업, 임업 및 어업 > 임업 > 임업 > 벌목업"
020200__example0,020200,example,원목 생산
020200__example1,020200,example,연료용 나무 생산
020200__example2,020200,example,벌목업자
020200__example3,020200,example,화목 생산
020300__name0,020300,name,임업 관련 서비스업
020300__hier0,020300,hier,"농업, 임업 및 어업 > 임업 > 임업 > 임업 관련 서비스업"
020300__example0,020300,example,산불 방지 서비스
020300__example1,020300,example,산림 병충해 방지 서비스
020300__example2,020300,example,산림 경비 및 보조 서비스
020300__example3,020300,example,수목 조사 및 평가 서비스
020300__example4,020300,example,목재 운반 및 이동 서비스(벌목장 내)
020300__xref0,020300,xref,정리활동
051102__name0,051102,name,연근해 어업
051102__hier0,051102,hier,"농업, 임업 및 어업 > 어업 > 어로 어업 > 해수면 어업"
051102__example0,051102,example,어류 포획
051102__example1,051102,example,수산 무척추동물 포획
051102__example2,051102,example,진주조개 채취
051102__example3,051102,example,"산호 채취 농업, 임업 및 어업"
051102__xref0,051102,xref,고래 수상 포획활동
051104__name0,051104,name,원양 어업
051104__hier0,051104,hier,"농업, 임업 및 어업 > 어업 > 어로 어업 > 해수면 어업"
051104__example0,051104,example,어류 포획
051104__example1,051104,example,수산 무척추동물 포획
051104__example2,051104,example,진주조개 채취
051104__example3,051104,example,산호 채취
051104__xref0,051104,xref,고래 수상 포획활동
051200__name0,051200,name,내수면 어업
051200__hier0,051200,hier,"농업, 임업 및 어업 > 어업 > 어로 어업 > 내수면 어업"
051200__example0,051200,example,어류 포획
051200__example1,051200,example,연체동물 포획
051200__example2,051200,example,갑각류 채취
051200__example3,051200,example,수산 식물 채취
052101__name0,052101,name,해수면 양식 어업
052101__hier0,052101,hier,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업"
052101__example0,052101,example,수산 동물 양식
052101__example1,052101,example,수산 식물 양식
052101__example2,052101,example,진주 양식
052101__example3,052101,example,해산물 양식
052103__name0,052103,name,내수면 양식 어업
052103__hier0,052103,hier,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업"
052103__example0,052103,example,수산 동물 양식
052103__example1,052103,example,수산 식물 양식
052103__example2,052103,example,개구리 양식
052103__example3,052103,example,우렁이 양식
052104__name0,052104,name,수산물 부화 및 수산 종자 생산업
052104__hier0,052104,hier,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업"
052104__example0,052104,example,수산 동물 및 식물 종자생산
052104__example1,052104,example,어족 부화 서비스
052104__xref0,052104,xref,어족부화 서비스
052200__name0,052200,name,어업 관련 서비스업
052200__hier0,052200,hier,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 어업 관련 서비스업"
052200__example0,052200,example,어획물 정리 서비스
052200__example1,052200,example,어획물 출하 준비 서비스
052200__example2,052200,example,"수산물 선별, 정리 서비스"
052200__xref0,052200,xref,정리 활동
101000__name0,101000,name,석탄 광업
101000__hier0,101000,hier,"광업 > 석탄, 원유 및 천연가스 광업 > 석탄 광업 > 석탄 광업"
101000__example0,101000,example,역청질탄(석탄) 채굴 및 선광
101000__example1,101000,example,유연탄 채굴 및 선광
101000__example2,101000,example,갈탄 채굴 및 선광
101001__name0,101001,name,그 외 기타 비금속광물 광업
101001__hier0,101001,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
101001__desc0,101001,desc,토탄
101001__example0,101001,example,"장석, 규조토, 백류석 채굴"
101001__example1,101001,example,"하석, 활석, 운모 채굴"
101001__example2,101001,example,섬장암 채굴
101001__example3,101001,example,규산질 토(흙) 채굴
101001__example4,101001,example,천연 동석 채굴
101001__example5,101001,example,"흑연, 인상흑연 채굴"
101001__example6,101001,example,토상흑연 채굴
101001__example7,101001,example,연마용 광물재료 채굴
101001__example8,101001,example,천연 아스팔트 채굴
101001__example9,101001,example,석면 채굴
101001__example10,101001,example,천연 커런덤 채굴
101001__example11,101001,example,다이아몬드 채굴
101001__example12,101001,example,토탄 채굴
101001__xref0,101001,xref,"흑연, 장석, 백류석, 규조토 채굴"
131000__name0,131000,name,철 광업
131000__hier0,131000,hier,광업 > 금속 광업 > 철 광업 > 철 광업
131000__example0,131000,example,자철광석 채굴
131000__example1,131000,example,철광석 채굴 및 정광활동
131000__example2,131000,example,철광석분 응집처리
131000__example3,131000,example,능철광석 채굴
131000__example4,131000,example,사철광 채굴
131003__name0,131003,name,비철금속 광업
131003__hier0,131003,hier,광업 > 금속 광업 > 비철금속 광업 > 비철금속 광업
131003__desc0,131003,desc,"텅스텐, 몰리브덴"
131003__example0,131003,example,우라늄 및 토륨광 채굴
